method,context,repeat,x,set,metric_name,gene,value
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,0.0
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884703724203
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.25169616135486395
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170371118362
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018290776779
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252806186936
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.01806940254384087
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.4062362916409961
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.4930497357388784
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4655769158016643
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.11171551595447109
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594596482138496
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.1387707136785666
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,all,0.24145827595802435
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,de,0.3554148683311368
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,hvg,0.30122122463641665
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,mae,all,0.06367870119728179
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,mae,de,0.22602383006650872
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,mae,hvg,0.07898229026308466
