method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.38784398694865074
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.5138510989356525
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.43774998761735845
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05453486290285399
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.1409797328195282
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06371340157182846
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006420092496031211
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.04413210764644245
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.009353700743204206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.300354312586823
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.23266029220637818
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.30378312816341607
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.3807086716963777
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.3883468344891759
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.4451060048396088
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.37566637033365435
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.49128781575336
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.4157297703667521
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.051163552488901386
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.13324976126900695
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.05879104383224104
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.005628455494674535
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.04013406304798219
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.00801768462622394
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.2535157167201566
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.20118675848796205
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.2567715346885738
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.4579587460088831
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.39161453927780526
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.5311236519772208
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.28017511521019495
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.3533013984422512
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.29697708382142335
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.05071730372513397
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.14802110589469197
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.05841748953265428
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.005613538294768588
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.04740984514352716
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.00809321316566108
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,-0.08775223080750975
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,-0.06648472577765649
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,-0.15924899965829759
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.4984584828507475
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.3088801969725352
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.5860651385824421
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.17909350468209886
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.24534512289341057
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.1906605683540123
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.05139679026446761
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.15600361477309574
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.059044286646478636
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.006254826135051246
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.055485288608577134
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.009207740076121181
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,-0.009203411825795182
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,-0.018871701346815206
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,-0.03965834529154951
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.4625940772127673
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.19049558636398267
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.5491258980776382
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,all,0.36927137167223456
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,de,0.48054601086670967
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,hvg,0.4133714239641504
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,all,0.055350748969593966
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,de,0.17206224243927218
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,hvg,0.06542032249115072
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,all,0.006770438888632399
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,de,0.05881131046532679
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,hvg,0.0101177165359779
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,all,0.14628810736404393
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,de,0.10604249024093411
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,hvg,0.12187300618187073
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,all,0.3856044702273574
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,de,0.2790825985440272
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,hvg,0.4474570943943555
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,all,0.3912630860888541
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,de,0.4923213160947549
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,hvg,0.4339843829990387
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,all,0.051422106960726036
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,de,0.14148019857325322
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,hvg,0.05937430695569833
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,all,0.005715671209963835
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,de,0.044992804370708996
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,hvg,0.008197704393655744
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,all,0.24701752455508091
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,de,0.1922971725751759
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,hvg,0.2452067830525896
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,all,0.45771853727965217
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,de,0.36315842108365615
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,hvg,0.5290066040510369
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,all,0.3177186793399715
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,de,0.39527306132650775
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,hvg,0.34333940195901075
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,all,0.05125677871503683
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,de,0.15067590092623506
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,hvg,0.05927206470215252
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,all,0.005733214981372882
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,de,0.04977914437329246
