method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.38784398694865074
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.5138510989356525
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.43774998761735845
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05453486290285399
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.1409797328195282
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06371340157182846
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006420092496031211
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.04413210764644245
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.009353700743204206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.300354312586823
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.23266029220637818
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.30378312816341607
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.3807086716963777
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.3883468344891759
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.4451060048396088
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.3404349201350627
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.46814382491926904
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.3903551627082853
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.05234575024898909
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.144669565262917
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.06092244810227144
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.005874201571516226
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.04238414748825152
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.00862018588172769
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.31644631538272844
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.248613870827318
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.32522880105653185
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.35056578734849375
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.3092112165552377
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.4168920957887133
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.3830276928963187
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.5009257217650522
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.4367648775673002
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.05353691942342998
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.1397526269326867
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.06390495231928409
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.006282428369916611
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.0412332313417339
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.009642887153620907
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,0.3687418573044545
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,0.2661447212605468
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,0.34732262085585125
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.2776388402788403
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.3297835907761826
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.31225649448189996
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.24983829165873683
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.38291127770623995
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.2978924125070746
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.05401134991344361
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.16852038118188573
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.06424295124285358
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.006897446806691732
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.05764082212174873
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.010713492326873245
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,0.22228046157522577
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,0.13987898494986317
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.19272069398773128
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.2635468452301413
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.09515455802075945
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.3184929324803185
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,all,0.36927137167223456
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,de,0.48054601086670967
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,hvg,0.4133714239641504
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,all,0.055350748969593966
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,de,0.17206224243927218
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,hvg,0.06542032249115072
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,all,0.006770438888632399
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,de,0.05881131046532679
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,hvg,0.0101177165359779
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,all,0.14628810736404393
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,de,0.10604249024093411
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,hvg,0.12187300618187073
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,all,0.3856044702273574
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,de,0.2790825985440272
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,hvg,0.4474570943943555
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,all,0.3532783712959785
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,de,0.4788004027363438
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,hvg,0.40309569464780337
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,all,0.05225422888146009
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,de,0.150859790279026
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,hvg,0.06138592191816541
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,all,0.005901233465801144
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,de,0.045275858523371765
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,hvg,0.00882783687054612
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,all,0.3544422211994083
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,de,0.2751380395030537
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,hvg,0.3552965242537556
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,all,0.35200438532060274
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,de,0.3138562465823373
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,hvg,0.4165236647882344
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,all,0.4019212027757775
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,de,0.5458784264544554
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,hvg,0.4579869278781523
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,all,0.052651161234397
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,de,0.15936593548393638
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,hvg,0.06206117181112799
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,all,0.006063618638456058
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,de,0.04873101496100926
