method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.38784398694865074
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.5138510989356525
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.43774998761735845
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05453486290285399
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.1409797328195282
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06371340157182846
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006420092496031211
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.04413210764644245
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.009353700743204206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.300354312586823
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.23266029220637818
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.30378312816341607
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.3807086716963777
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.3883468344891759
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.4451060048396088
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.2788231956280888
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.3996498986952887
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.32260921070914367
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.052182788725591525
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.1461646848006736
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.0612696633032388
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.0058543246779972045
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.0425348925751981
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.008743036359843926
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.30111607517629735
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.23127162883566077
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.3036672617739777
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.32233252307740146
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.2588399899184963
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.3842715470381985
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.11877510428916531
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.22012041648343753
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.13570913132288354
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.0508444830232745
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.1588597071417851
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.05860009300472378
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.005593392809409333
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.04788227277742946
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.008156633187254033
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,0.015905687190315133
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,0.019618789601035393
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,-0.02090171806147636
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.39394943225576373
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.13265266174297538
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.4879444391301665
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.0824646411521109
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.1407125153349327
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.08640879452852046
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.05194911294610766
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.15759714715159287
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.05993422027939001
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.00622183949874907
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.05127220332312502
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.0092266584868417
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,0.28197490126757424
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,0.2104034704654249
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.3064010291194008
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.4074106035345482
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.1293752237743763
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.5069975904043502
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,all,0.36927137167223456
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,de,0.48054601086670967
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,hvg,0.4133714239641504
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,all,0.055350748969593966
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,de,0.17206224243927218
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,hvg,0.06542032249115072
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,all,0.006770438888632399
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,de,0.05881131046532679
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,hvg,0.0101177165359779
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,all,0.14628810736404393
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,de,0.10604249024093411
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,hvg,0.12187300618187073
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,all,0.3856044702273574
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,de,0.2790825985440272
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,hvg,0.4474570943943555
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,all,0.33188172480282474
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,de,0.4547730755316007
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,hvg,0.375506032393974
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,all,0.05133583121605067
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,de,0.14821696832301304
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,hvg,0.05968066677715457
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,all,0.005607852599663812
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,de,0.0437248763590522
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,hvg,0.008208495333681889
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,all,0.3293125077385257
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,de,0.2632795857877368
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,hvg,0.33817731257729733
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,all,0.3735952812891557
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,de,0.2955806625010919
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,hvg,0.4463608718457872
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,all,0.19477684814396123
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,de,0.322642750530426
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,hvg,0.2260874166913266
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,all,0.049210318790676125
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,de,0.14788672278252293
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,hvg,0.05631906157203799
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,all,0.00518281260535604
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,de,0.042938280474706075
