method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.38784398694865074
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.5138510989356525
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.43774998761735845
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05453486290285399
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.1409797328195282
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06371340157182846
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006420092496031211
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.04413210764644245
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.009353700743204206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.300354312586823
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.23266029220637818
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.30378312816341607
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.3807086716963777
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.3883468344891759
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.4451060048396088
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.403229617931237
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.5267058435236188
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.44751774476647066
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.05230656372816629
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.14254850919716597
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.06075492646949078
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.005984464167499709
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.04548270485512004
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.008731334900282002
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.24114396338545627
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.16790186856158007
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.23713920964753835
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.4362767553355272
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.3648745101680264
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.5000062884954068
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.3585945336481265
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.45554541269422677
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.38891180438275624
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.052110450566721166
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.15146951692520344
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.06082240400655281
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.006134021165706581
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.04935073648222896
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.009055825430728614
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,0.09346235508650517
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,0.055211925184027594
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,0.039248409940407916
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.4340808383293177
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.3202326128689818
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.49979594050612425
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.341624034171938
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.47398331204606897
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.3736857900509126
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.053979175541081746
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.155189255705355
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.06370655224482168
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.006898461905309331
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.053115751157135134
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.010408909848391058
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,0.10731414803784103
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,0.022617330830584554
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.09472454740016296
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.3989368688051991
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.34364969640689846
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.4541680222183699
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,all,0.36927137167223456
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,de,0.48054601086670967
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,hvg,0.4133714239641504
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,all,0.055350748969593966
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,de,0.17206224243927218
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,hvg,0.06542032249115072
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,all,0.006770438888632399
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,de,0.05881131046532679
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,hvg,0.0101177165359779
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,all,0.14628810736404393
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,de,0.10604249024093411
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,hvg,0.12187300618187073
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,all,0.3856044702273574
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,de,0.2790825985440272
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,hvg,0.4474570943943555
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,all,0.41816986429746617
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,de,0.5565086199452539
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,hvg,0.46492359981523423
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,all,0.05236167952338856
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,de,0.1504220007519789
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,hvg,0.060649790959865994
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,all,0.005904689398019938
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,de,0.0471544971019846
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,hvg,0.008474437013243012
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,all,0.1791246749003283
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,de,0.1183585498218271
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,hvg,0.17104049956130926
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,all,0.4532803372767404
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,de,0.4012526315289688
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,hvg,0.5207218428209326
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,all,0.39875085427737733
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,de,0.5200840387088708
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,hvg,0.4376524897278476
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,all,0.05235150338885123
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,de,0.14908719528129447
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,hvg,0.06066224310212009
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,all,0.00599497061163529
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,de,0.047798815019512844
