method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.38784398694865074
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.5138510989356525
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.43774998761735845
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05453486290285399
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.1409797328195282
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06371340157182846
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006420092496031211
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.04413210764644245
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.009353700743204206
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.300354312586823
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.23266029220637818
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.30378312816341607
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.3807086716963777
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.3883468344891759
Biolord,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.4451060048396088
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.43526913089732533
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.5375495217310411
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.47767432470564114
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.05491545226484305
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.15365852093036092
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.06456640931466373
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.006688584027449799
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.05187219222683286
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.009898251747754688
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.16277509247758698
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.11151437332457306
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.1312737947421086
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.43029533989047436
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.3959478628575141
Biolord,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.4877187137905644
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.33453667233036544
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.45495582513823385
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.3720611791832522
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.05380630375837871
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.14875546510518853
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.06319859071005467
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.006434613467860667
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.04659041020972585
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.009601616372389694
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,0.346304606142002
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,0.26029230164431155
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,0.3536449186078303
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.37500669352731497
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.33449318024876395
Biolord,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.43672620076748614
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.5277984228332278
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.6403868549883279
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.5801810598825716
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.060136165940627505
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.16392996630592213
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.07252058027358088
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.008419007607492686
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.0598359955755742
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.01295203465576179
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,0.06272939994760918
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,-0.016285488866431847
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.02088811471168479
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.3634888508045303
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.42997486916842503
Biolord,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.37997857744064145
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,all,0.010333018329332883
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,de,0.12257252907952607
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,mse,hvg,0.018069402629239256
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,all,-0.40442183689737443
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,de,-0.5000488968540013
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,hvg,-0.4647492501327223
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,all,0.1117154301360978
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,de,-0.22594598527639378
Biolord,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,hvg,0.13877065486653206
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,all,0.36927137167223456
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,de,0.48054601086670967
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,hvg,0.4133714239641504
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,all,0.055350748969593966
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,de,0.17206224243927218
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mae,hvg,0.06542032249115072
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,all,0.006770438888632399
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,de,0.05881131046532679
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,mse,hvg,0.0101177165359779
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,all,0.14628810736404393
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,de,0.10604249024093411
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,hvg,0.12187300618187073
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,all,0.3856044702273574
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,de,0.2790825985440272
Biolord,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,hvg,0.4474570943943555
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,all,0.44520442447095654
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,de,0.5389958160126651
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,hvg,0.4931685132682035
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,all,0.0554380944398959
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,de,0.15656581663447203
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mae,hvg,0.06491872191093656
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,all,0.006802736430210469
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,de,0.05303676162713644
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,mse,hvg,0.009938352643701171
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,all,0.23911145936329378
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,de,0.18783701103695088
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_bias,hvg,0.2176431986094802
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,all,0.4390546918154394
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,de,0.40415679191826387
Biolord,nadig_hepg2_essential_hepg2,1,29.9,test,systema_correlation,hvg,0.50614253701568
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,all,0.3395880295634575
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,de,0.47210232253644174
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,correlation,hvg,0.37766488240038804
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,all,0.053038823354253244
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,de,0.14432263774955875
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mae,hvg,0.06187286140836704
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,all,0.006081441556252656
Biolord,nadig_hepg2_essential_hepg2,1,50.0,test,mse,de,0.04220996896204725
