method,context,repeat,x,set,metric_name,gene,value
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.416581978084578
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.49837833971791107
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.4693282478682592
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05631536553420057
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.16929733397322258
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06880441126969865
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006967379249948619
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.05673697776945324
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.010861636974339279
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.5688671690822702
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.49458207278655203
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.5271770970618632
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.17399027321270435
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.2834687853557525
