method,context,repeat,x,set,metric_name,gene,value
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.41586270257782526
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.4977948373750584
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.46897189327614724
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05632227112050944
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.17018565436722577
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06876941294502027
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006973020991391255
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.05720789106245348
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.010861973953318333
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.5660029042211582
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.4931796091418305
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.5257849592736912
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.18019945219054717
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.2757254277918929
