method,context,repeat,x,set,metric_name,gene,value
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
PRESAGE,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.41475008438236155
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.4966080261339413
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.4682002765110084
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05661271629181672
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.16576480129160892
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06932035059001869
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.007020579739045198
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.055120817647829196
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.010977787282502597
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.5692907081578925
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.49551414109152025
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.5276190758050936
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.12913503426627232
PRESAGE,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.2796286722101949
