method,context,repeat,x,set,metric_name,gene,value
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.3923566888098525
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.48846769900132014
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.4480811261189206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05594357657353371
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.17286902239709998
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.0674482241178427
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006961827070385663
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.06068543219886374
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.010698861347048044
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.4843686321294206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.4150706540144445
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.46488572741464157
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.22551565201981838
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.12038176786490587
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.26341169769956146
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.374843865829917
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.4797121411893239
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.424822614368556
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.05459111032125627
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.18020173610517176
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.06572308489609122
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.006563240808621455
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.06046744666515314
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.010187489689950495
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.5174194779258877
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.43873277044653847
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.4909199643019347
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.25433359301888014
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.110343078949344
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.2973904451685722
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.4064819690967388
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.5108095067444735
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.45909642488478725
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.05515041994553347
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.18173698466229798
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.06628389778782663
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.006722823647078783
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.06134087895630634
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.010399128215674963
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,0.4947693372639932
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,0.41795689065963315
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,0.46328548128236496
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.24613110795626586
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.1428168109703209
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.28110401292101095
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.38177687871752086
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.4756977500276336
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.4324204398608378
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.0543631483286045
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.17577261547635714
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.06495997362884644
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.0064024115919931795
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.056850146283554386
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.009693923046311987
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,0.5019915980167863
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,0.4338852650854453
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.4692210055105314
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.2684283462567885
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.21146778066915603
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.31712102843190093
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mse,all,0.010333018329332883
