method,context,repeat,x,set,metric_name,gene,value
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.3923566888098525
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.48846769900132014
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.4480811261189206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05594357657353371
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.17286902239709998
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.0674482241178427
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006961827070385663
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.06068543219886374
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.010698861347048044
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.4843686321294206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.4150706540144445
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.46488572741464157
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.22551565201981838
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.12038176786490587
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.26341169769956146
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.31483151190693165
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.4100108283135289
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.35984531501759287
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.05353898718924693
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.18011933196916974
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.0640997570131777
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.0063353394431980145
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.05994326595201073
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.009786233379035659
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.49024781509091064
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.4268137148094665
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.4683394100107386
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.23655289847324384
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.010367565998189937
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.2874209464424219
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.30035725769535154
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.41394615663114026
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.34343424708237974
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.051708609960450604
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.17736001596968196
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.06149416829730402
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.005948939693171974
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.059927192202502005
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.009181577534096451
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,0.5428531078470004
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,0.4722405990276988
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,0.5284491169003229
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.2966477660918741
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.011261722727174435
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.361019360710509
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.31721977617788266
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.42547051172995254
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.3646226714014501
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.0506573191805069
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.17697048461519999
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.06021158601567821
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.005651606307209073
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.05801629525966092
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.008722291089204257
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,0.4802258277155061
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,0.41593287134332346
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.46242783682017957
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.294702240652421
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,-0.016416610995547865
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.35401482603305456
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
