method,context,repeat,x,set,metric_name,gene,value
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.3923566888098525
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.48846769900132014
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.4480811261189206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05594357657353371
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.17286902239709998
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.0674482241178427
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006961827070385663
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.06068543219886374
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.010698861347048044
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.4843686321294206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.4150706540144445
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.46488572741464157
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.22551565201981838
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.12038176786490587
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.26341169769956146
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.41211346522157444
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.4933969803354519
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.4591261027271151
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.054132206407504345
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.15471502000727108
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.06508804648802732
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.006466260648862304
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.050733421998321995
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.009929755423658345
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.5095647464203302
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.4514864799293075
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.4844032230362861
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.2774720150642883
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.24337032074251078
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.30951215020940004
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.41457135140147444
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.503290225085772
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.45953690300489203
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.05319144719999931
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.16792172505756905
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.06330119526055893
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.006327248008358777
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.057919635371336584
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.009599213023906605
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,0.4541576107153113
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,0.4038552914720617
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,0.4405827217219424
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.35748198212964577
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.1911371230803616
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.40618982881542676
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.38464239171919623
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.45269697963121747
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.4184932988494667
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.05258391345914714
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.16475988673761427
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.06264542502617014
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.006330086747555382
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.05783621941176137
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.009703626649939394
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,0.49385487734895345
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,0.44771339963764933
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.48233756649555865
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.4197865048172799
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.2656765254976115
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.4838161278418982
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
