method,context,repeat,x,set,metric_name,gene,value
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.3923566888098525
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.48846769900132014
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.4480811261189206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05594357657353371
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.17286902239709998
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.0674482241178427
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006961827070385663
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.06068543219886374
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.010698861347048044
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.4843686321294206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.4150706540144445
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.46488572741464157
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.22551565201981838
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.12038176786490587
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.26341169769956146
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.39000558974737404
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.483831757522857
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.43764447954428565
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.05363468603484197
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.17316145241356445
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.06407577065389551
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.00643878380833694
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.059570433477643105
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.009800029841766597
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.4434974239313704
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.3968229851816193
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.4238636375322701
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.32824576049267074
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.13659927889736362
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.38091321985653004
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.3941606934631228
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.4936714465933406
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.4392295421300769
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.051974751827024254
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.16658778932236962
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.06173188250383982
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.006087583132539316
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.05885298941593896
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.009234782168603009
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,0.4571346513844794
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,0.39863541414603104
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,0.44113495812631187
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.36066000417973093
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.12401978683969099
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.41806252280662615
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.4433881216963832
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.5543694252376464
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.48771230113051334
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.05015133099658475
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.14036335412648998
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.058469822665628245
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.005626665967574178
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.050887715014710205
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.008194537750397801
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,0.41747584501533247
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,0.35203226835691015
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.3903853304657282
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.46439470221651025
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.2484891837231653
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.5317834978038771
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
