method,context,repeat,x,set,metric_name,gene,value
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.3923566888098525
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.48846769900132014
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.4480811261189206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05594357657353371
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.17286902239709998
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.0674482241178427
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.006961827070385663
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.06068543219886374
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.010698861347048044
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.4843686321294206
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.4150706540144445
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.46488572741464157
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.22551565201981838
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.12038176786490587
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.26341169769956146
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.44704949939720684
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.5364600637395563
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.4995520801246424
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.05539099101916221
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.17093157127024478
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.06641315124953176
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.006957362372846566
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.06206053003938248
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.01064590445834947
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.4538269700510908
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.3931385154016343
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.42672525730806726
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.3200377844116292
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.20154355992941897
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.35972656089035404
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.37084783460934473
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.47711626916730476
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.4178615898850001
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.05444925511140279
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.17819857353822807
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.06524804849719706
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.0066791361064463504
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.061193071470150295
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.010312534559669633
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,0.5078028748143317
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,0.43475318022182746
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,0.48312331446176704
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.2870707186726321
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.09271911018018085
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.33476968667736057
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.472759691259568
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.5867611869980033
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.5271705500803916
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.05650655939219937
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.17077213058584997
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.06802073837449775
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.007290481762752966
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.05942715483418189
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.011275138027354498
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,0.39864108063087733
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,0.30627944335700175
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.3672964477655851
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.3198558829706766
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.2405161768873059
scLambda,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.3534373930216284
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07982170376920315
