method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.2618144245683506
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.34213625630759814
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.2386525006875454
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.05061583680020583
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.18230723202127108
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05458457269466803
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.00551062367511208
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.06138106512382927
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006862008615249948
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.20185736987302677
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.17013897251467605
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.12749589574956868
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.20556791704164387
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.18484076205618352
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.22860664856996982
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.2031438337917404
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.22449415842498482
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.1771493573865284
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.04783565398652094
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.18134566634503366
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.05066123664872142
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.0048597152157763
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.05684259064078822
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.005851693921254956
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.3409890470298772
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.2955608544489429
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.29260906947595783
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.1342287386284569
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,0.025005738072469846
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.16218391525196124
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.21810428654049077
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,de,0.27890599001202127
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,hvg,0.18043332984344643
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,all,0.048009390945205156
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,de,0.17843173520952801
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,hvg,0.0512849482216812
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,all,0.004843918046173869
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,de,0.05412361896617581
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,hvg,0.005895225632431539
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,all,0.29006846614555243
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,de,0.2550465561096582
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,hvg,0.17502587203035197
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,all,0.16896451070618276
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,de,0.09869855579507295
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,hvg,0.1964076417001578
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,all,0.20272454940519438
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,de,0.27765111933818204
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,hvg,0.18318251764376003
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,all,0.049235307376979925
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,de,0.1829209680272831
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,hvg,0.05210840110660092
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,all,0.005110898334143856
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,de,0.05789853075133588
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,hvg,0.0061235477776551105
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,all,0.18960730675777498
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,de,0.10292503658249766
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,hvg,0.15109195848988818
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,all,0.17596475432478295
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,de,0.1142441739866313
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,hvg,0.19076214275673853
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,all,-0.01058533162837405
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,de,-0.030432763828762078
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,hvg,-0.03991192816601626
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,all,0.051818929901624504
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,de,0.22730523189896168
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,hvg,0.055033165264425664
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,all,0.006276061568036233
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,de,0.08808984178850214
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,hvg,0.007687164991273611
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,all,-0.3521389735407495
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,de,-0.47206299057960505
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,hvg,-0.4529182895657505
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,all,0.07883420357117932
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,de,-0.1779972031806411
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,hvg,0.09685074003147329
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,all,0.2608240860782226
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,de,0.3592475161169097
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,hvg,0.2515332698167292
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,all,0.0499240093707821
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,de,0.1893599029420434
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,hvg,0.05320493750912477
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,all,0.005379702322412088
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,de,0.0644464831569796
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,hvg,0.006569319871943405
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,all,0.22378574682412392
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,de,0.20674383253072487
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,hvg,0.20451019774527193
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,all,0.20457452914451194
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,de,0.16743543808782704
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,hvg,0.2286151490906187
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,all,0.23137851818497865
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,de,0.29529729317935954
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,hvg,0.2043339732480185
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,all,0.04800544956095752
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,de,0.17705265437056739
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,hvg,0.051249673861026676
