method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.2618144245683506
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.34213625630759814
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.2386525006875454
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.05061583680020583
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.18230723202127108
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05458457269466803
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.00551062367511208
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.06138106512382927
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006862008615249948
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.20185736987302677
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.17013897251467605
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.12749589574956868
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.20556791704164387
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.18484076205618352
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.22860664856996982
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.19774022761816368
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.31482052087897444
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.18381124080660763
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.047472756494887504
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.17832486224517471
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.05013341054053189
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.004781134512185617
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.05452527087647182
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.00567843176633409
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.14631801529968297
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.10169352945699438
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.11667734988958475
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.20124540859032963
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,0.13079260396104173
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.23155438586915586
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.20165134889417557
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,de,0.3010675713193027
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,hvg,0.17740476984348114
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,all,0.04530051689420766
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,de,0.16460992098764748
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,hvg,0.04773935397755334
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,all,0.0042633926534795755
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,de,0.0476551849822113
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,hvg,0.005022704767520835
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,all,0.27314353424399945
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,de,0.21583474289899365
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,hvg,0.21328926295050904
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,all,0.2255270900574555
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,de,0.1713547309433077
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,hvg,0.25680817985905025
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,all,0.14646794767831656
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,de,0.21112811720624045
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,hvg,0.12203180068395092
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,all,0.04548231821605984
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,de,0.16218613774858823
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,hvg,0.047661936620598894
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,all,0.004309708112749351
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,de,0.04623713384260295
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,hvg,0.005031395860925894
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,all,0.23191207699341032
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,de,0.1803719155338431
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,hvg,0.16391208393475326
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,all,0.2129590264241904
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,de,0.08495537799066918
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,hvg,0.24706498184282571
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,all,-0.01058533162837405
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,de,-0.030432763828762078
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,hvg,-0.03991192816601626
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,all,0.051818929901624504
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,de,0.22730523189896168
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,hvg,0.055033165264425664
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,all,0.006276061568036233
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,de,0.08808984178850214
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,hvg,0.007687164991273611
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,all,-0.3521389735407495
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,de,-0.47206299057960505
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,hvg,-0.4529182895657505
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,all,0.07883420357117932
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,de,-0.1779972031806411
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,hvg,0.09685074003147329
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,all,0.2608240860782226
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,de,0.3592475161169097
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,hvg,0.2515332698167292
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,all,0.0499240093707821
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,de,0.1893599029420434
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,hvg,0.05320493750912477
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,all,0.005379702322412088
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,de,0.0644464831569796
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,hvg,0.006569319871943405
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,all,0.22378574682412392
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,de,0.20674383253072487
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,hvg,0.20451019774527193
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,all,0.20457452914451194
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,de,0.16743543808782704
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,hvg,0.2286151490906187
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,all,0.20819957168247555
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,de,0.29630865395585143
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,hvg,0.18630671111175448
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,all,0.04693990410748557
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,de,0.17496873756104211
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,hvg,0.04979660030948047
