method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.2618144245683506
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.34213625630759814
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.2386525006875454
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.05061583680020583
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.18230723202127108
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05458457269466803
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.00551062367511208
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.06138106512382927
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006862008615249948
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.20185736987302677
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.17013897251467605
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.12749589574956868
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.20556791704164387
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.18484076205618352
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.22860664856996982
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.2953491050233229
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.3952001932506839
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.2808025643577996
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.049559779069505025
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.17887083097379894
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.0528778178711032
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.005242762580281941
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.05744745079463561
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.006417048703587748
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.31343407964646575
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.2620077418657411
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.30019065216472135
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.21541541883463605
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,0.23559440037645202
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.2324585152862892
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.27267228091946794
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,de,0.36564155806926363
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,hvg,0.24319661208020446
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,all,0.049058100683417115
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,de,0.17932399627771534
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,hvg,0.05244310404103816
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,all,0.00515065439596988
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,de,0.05819147104132624
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,hvg,0.0062908412629697754
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,all,0.11995581598030527
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,de,0.06253913690050941
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,hvg,0.009314447046825734
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,all,0.25531845283342286
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,de,0.21976100497976067
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,hvg,0.27907531705278715
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,all,0.25805857841405005
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,de,0.34732256625928787
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,hvg,0.24096537291745362
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,all,0.050871896473919355
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,de,0.18277069433325
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,hvg,0.054063650531198715
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,all,0.005582181232328568
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,de,0.06127362691216724
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,hvg,0.006731023595532533
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,all,0.09914584504845302
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,de,0.022572677851029687
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,hvg,0.07391142780961787
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,all,0.2277739276635429
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,de,0.18760984759854737
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,hvg,0.24646918557757597
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,all,-0.01058533162837405
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,de,-0.030432763828762078
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,hvg,-0.03991192816601626
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,all,0.051818929901624504
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,de,0.22730523189896168
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,hvg,0.055033165264425664
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,all,0.006276061568036233
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,de,0.08808984178850214
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,hvg,0.007687164991273611
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,all,-0.3521389735407495
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,de,-0.47206299057960505
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,hvg,-0.4529182895657505
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,all,0.07883420357117932
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,de,-0.1779972031806411
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,hvg,0.09685074003147329
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,all,0.2608240860782226
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,de,0.3592475161169097
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,hvg,0.2515332698167292
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,all,0.0499240093707821
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,de,0.1893599029420434
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,hvg,0.05320493750912477
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,all,0.005379702322412088
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,de,0.0644464831569796
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,hvg,0.006569319871943405
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,all,0.22378574682412392
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,de,0.20674383253072487
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,hvg,0.20451019774527193
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,all,0.20457452914451194
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,de,0.16743543808782704
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,hvg,0.2286151490906187
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,all,0.27465280426132166
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,de,0.3514560128297098
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,hvg,0.2556059192066121
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,all,0.04936813387695452
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,de,0.18332695217535347
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,hvg,0.05265358234866357
