method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
Biolord,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.2618144245683506
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.34213625630759814
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.2386525006875454
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.05061583680020583
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.18230723202127108
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05458457269466803
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.00551062367511208
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.06138106512382927
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006862008615249948
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.20185736987302677
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.17013897251467605
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.12749589574956868
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.20556791704164387
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.18484076205618352
Biolord,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.22860664856996982
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.30812670910740414
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.40149414130224365
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.2932979350441194
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.0509864364272772
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.19074566326443326
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.054697654187555914
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.005686745860017446
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.06769595279283232
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.007045026036068766
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.3282206950766942
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.27280263213521316
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.30456884074112034
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.20080790168740523
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,0.2163521399367565
Biolord,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.21712659019819078
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.29784035198542214
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,de,0.3741351278937601
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,hvg,0.28159218784137247
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,all,0.04844818680710645
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,de,0.17567967494065634
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mae,hvg,0.05169681415935805
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,all,0.005092415501303927
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,de,0.05947594421455889
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,mse,hvg,0.006260446834473749
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,all,0.2503770385331247
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,de,0.2147726755583934
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_bias,hvg,0.21136350411566973
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,all,0.2685233342910866
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,de,0.22299577427282838
Biolord,nadig_jurkat_essential_jurkat,0,50.0,test,systema_correlation,hvg,0.2965576202067526
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,all,0.4116573704764057
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,de,0.48725923882748695
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,correlation,hvg,0.40211346501393674
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,all,0.05610554435793141
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,de,0.1920218054212816
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mae,hvg,0.060818927636381276
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,all,0.0068547639728200075
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,de,0.0763909471648459
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,mse,hvg,0.008659018962965592
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,all,0.04922564480359298
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,de,-0.04169036260238181
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_bias,hvg,0.007984966625763246
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,all,0.33805008285780164
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,de,0.3649272093966865
Biolord,nadig_jurkat_essential_jurkat,0,79.9,test,systema_correlation,hvg,0.3471225633530275
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,all,-0.01058533162837405
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,de,-0.030432763828762078
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,correlation,hvg,-0.03991192816601626
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,all,0.051818929901624504
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,de,0.22730523189896168
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mae,hvg,0.055033165264425664
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,all,0.006276061568036233
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,de,0.08808984178850214
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,mse,hvg,0.007687164991273611
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,all,-0.3521389735407495
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,de,-0.47206299057960505
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_bias,hvg,-0.4529182895657505
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,all,0.07883420357117932
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,de,-0.1779972031806411
Biolord,nadig_jurkat_essential_jurkat,1,0.0,test,systema_correlation,hvg,0.09685074003147329
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,all,0.2608240860782226
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,de,0.3592475161169097
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,correlation,hvg,0.2515332698167292
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,all,0.0499240093707821
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,de,0.1893599029420434
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mae,hvg,0.05320493750912477
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,all,0.005379702322412088
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,de,0.0644464831569796
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,mse,hvg,0.006569319871943405
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,all,0.22378574682412392
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,de,0.20674383253072487
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_bias,hvg,0.20451019774527193
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,all,0.20457452914451194
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,de,0.16743543808782704
Biolord,nadig_jurkat_essential_jurkat,1,10.0,test,systema_correlation,hvg,0.2286151490906187
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,all,0.29811303461453764
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,de,0.4092142108391504
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,correlation,hvg,0.2865755888147425
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,all,0.05113632219654875
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,de,0.18977946245444
Biolord,nadig_jurkat_essential_jurkat,1,29.9,test,mae,hvg,0.05486415438977803
