method,context,repeat,x,set,metric_name,gene,value
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.33100589331765085
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.3831209038119412
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.319734615365075
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.04879837863823648
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.1963746880670393
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.052052084905624275
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.0052591893444747205
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.06877086440126465
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006437966217832333
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.6328120872942754
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.5903898755828245
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.6461809337312614
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.1570537965235112
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.14467323558240594
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.17801998815297135
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.35530616627156736
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.46581202181236064
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.35218462479951723
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.0473748070233982
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.17870354061184104
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.050141757790874104
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.004807526383177954
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.059290257201510405
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.005761349394446288
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.49980810323583263
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.45564609707148745
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.4974050810067355
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.253969475813887
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,0.3326497449085832
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.2904462606273157
PRESAGE,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.3981650729217271
