method,context,repeat,x,set,metric_name,gene,value
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.33650390111426404
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.4185050352997547
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.3285544882687238
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.04885269785540925
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.19644213942997954
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.052116167101314705
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.005248630442429054
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.0688001122848057
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006409977326810692
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.6012795932528757
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.5675117747203969
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.6132671152297264
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.1794675055744003
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.21857827879622654
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.21280758506127598
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.25985349416249454
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.26365673138063234
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.2368909472179832
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.046822171559632426
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.1824714914359021
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.04970764536460532
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.004747057501568621
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.06083190045750323
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.005719362175087241
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.6246083871267127
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.5755399423642831
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.630475672175866
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.0913148243422384
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,-0.019658610974838554
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.11143111931709931
PRESAGE,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.28177385126094323
