method,context,repeat,x,set,metric_name,gene,value
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.33602369505230456
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.4146784720059794
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.3279518188393819
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.04888920609683258
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.1963572805117895
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05217617452020045
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.005251859151180789
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.06869343913194526
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006416177673852234
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.604276039806875
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.5677398623305228
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.6143951144638269
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.17538807125176767
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.20619252512432384
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.2097634011010372
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.3629135723223085
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.46992651699049864
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.36090078363415684
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.04631178831553033
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.17553139938028106
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.048988883826832204
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.00457236474559286
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.05726797104480091
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.005445574251258183
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.48439175010740027
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.4558089862516241
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.480482358935328
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.28336247036632334
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,0.33558343697156523
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.3183313082509852
PRESAGE,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.38504209970197456
