method,context,repeat,x,set,metric_name,gene,value
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
PRESAGE,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.3310274671501306
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.3833367660788604
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.3197793031406201
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.04880773395786958
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.1962027836458108
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05206492059461568
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.005258651570993068
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.06869063052830078
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006437525524214259
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.6332011174751399
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.5906349790938427
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.6464846304066433
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.15500795769848202
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.14803263261161817
PRESAGE,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.17577616163675236
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.3742466876805186
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.4695317574815163
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.3714961663766112
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.04904601583789329
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.1908133448826895
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.052334395984508265
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.005203463116210563
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.06363100463337698
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.006340763294863019
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.5341650733060226
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.48428315413800205
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.5459584286871354
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.25272423832299046
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,0.32273788309188545
PRESAGE,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.28336380539775424
PRESAGE,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.35051312632620224
