method,context,repeat,x,set,metric_name,gene,value
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
scLambda,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.3017608901142986
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.38057852564637756
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.2844965389363092
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.04921471181305491
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.19359203083281984
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05265873600873006
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.005407368071985362
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.06860750099402459
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006648864998172754
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.42820708241532773
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.3673847061634618
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.3896694938530935
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.16121967981007798
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.1307241798875307
scLambda,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.17785762911661931
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.2693073701118471
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.33906061793373743
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.2455571022559638
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.04852179251574356
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.19415325687276633
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.05173766175375348
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.005281882598569585
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.06803244416088897
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.006452259234149087
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.48089519094643723
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.4223123943595557
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.43240843844362586
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.1325727747177614
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,0.07204395825786224
scLambda,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.1462555173072556
scLambda,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.2804380349691101
scLambda,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,de,0.3555436598521781
scLambda,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,hvg,0.26268759813671744
