method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.27974632947330746
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.4421859925719536
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.2923094940320226
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,all,0.042491648195267025
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,de,0.1590506877906125
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.046084745414908417
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,all,0.003971110824275282
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,de,0.046163576494449285
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.005009399382860017
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.08645353316087963
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.055004756931287334
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.05967923275543138
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.2525022093524413
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.2790689140888353
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.29788870667778417
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.3014486828727332
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.39056607151952183
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.31296777970226775
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,all,0.040641350026339576
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,de,0.1440873931872388
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.04363219318194939
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,all,0.0035829195794561306
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,de,0.0398314502568275
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.004467285888037601
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.3206303841183496
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.24894657211799884
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.31521366864313005
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.24298028241150577
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.21981033239232167
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.2879648340806512
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.2419307796482478
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.37042370641826855
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.2440299765489428
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,all,0.03953020832833997
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,de,0.15479259235990195
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.04227977971181286
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,all,0.003523677694610297
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,de,0.04441066882424389
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.004358394650121521
Biolord,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.04269956102229481
