method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.27974632947330746
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.4421859925719536
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.2923094940320226
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,all,0.042491648195267025
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,de,0.1590506877906125
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.046084745414908417
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,all,0.003971110824275282
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,de,0.046163576494449285
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.005009399382860017
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.08645353316087963
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.055004756931287334
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.05967923275543138
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.2525022093524413
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.2790689140888353
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.29788870667778417
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.32976639177423506
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.4585833178916253
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.33999094134177693
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,all,0.04098440980504556
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,de,0.15544627779044204
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.044328365088565275
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,all,0.0037334800341333966
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,de,0.0441067656700822
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.004715472168523699
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.2765828103948514
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.21262805665261414
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.25460537004071354
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.27159797570031846
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.28526815700976293
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.3173673561261353
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.31875589105061447
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.4344639781128071
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.32961219461427854
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,all,0.041241518633782656
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,de,0.15822606092984565
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.04461855400676225
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,all,0.0038261590424083893
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,de,0.045456901359891576
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.004841325371336544
Biolord,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.22085070052641095
