method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.27974632947330746
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.4421859925719536
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.2923094940320226
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,all,0.042491648195267025
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,de,0.1590506877906125
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.046084745414908417
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,all,0.003971110824275282
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,de,0.046163576494449285
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.005009399382860017
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.08645353316087963
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.055004756931287334
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.05967923275543138
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.2525022093524413
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.2790689140888353
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.29788870667778417
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.32005573991944963
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.4332290336824324
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.33276100741548764
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,all,0.039913078581657546
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,de,0.14904934956454188
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.04304973300958077
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,all,0.0035011373078665162
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,de,0.04110797703867585
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.004390880126644804
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.3293101902294426
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.25684844196562057
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.32403557827804047
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.26675724651808286
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.2416395933355403
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.31484840487185406
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.259356607998992
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.338642989966565
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.2594523447533123
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,all,0.03929097802300408
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,de,0.15098150729321863
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.0421439970718881
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,all,0.0034519770679824245
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,de,0.04248313507770276
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.0042866604348336616
Biolord,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.1753514436773305
