method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.27974632947330746
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.4421859925719536
Biolord,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.2923094940320226
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,all,0.042491648195267025
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,de,0.1590506877906125
Biolord,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.046084745414908417
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,all,0.003971110824275282
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,de,0.046163576494449285
Biolord,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.005009399382860017
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.08645353316087963
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.055004756931287334
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.05967923275543138
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.2525022093524413
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.2790689140888353
Biolord,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.29788870667778417
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.3306755739766738
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.4481093363175562
Biolord,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.34389532295590663
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,all,0.044346731100785054
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,de,0.16524994367853846
Biolord,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.04849699275886085
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,all,0.00436031375219005
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,de,0.049208895138756384
Biolord,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.005610079613967055
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.22429542372361444
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.14907757887739242
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.20888439082109184
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.2346189857462802
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.26635707530307456
Biolord,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.2695898827523336
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.2685614376517525
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.393720599624709
Biolord,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.2703189883616915
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,all,0.04267413200530653
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,de,0.1618123826281833
Biolord,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.04635164835784992
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,all,0.0041318595421721855
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,de,0.04792097793154281
Biolord,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.005287903818285783
Biolord,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.15212861127374236
