method,context,repeat,x,set,metric_name,gene,value
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
GenePert,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.32145294844150224
GenePert,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.4158832640769347
GenePert,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.34225277771835944
GenePert,replogle_k562_essential_k562,0,10.0,test,mae,all,0.04261604762201236
GenePert,replogle_k562_essential_k562,0,10.0,test,mae,de,0.17963627205054108
GenePert,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.04619067696807946
GenePert,replogle_k562_essential_k562,0,10.0,test,mse,all,0.004153678755913185
GenePert,replogle_k562_essential_k562,0,10.0,test,mse,de,0.056590067213707865
GenePert,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.005308396920179932
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.5918185268221822
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.5077999174615601
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.5829272151547171
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.10075896133045688
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.14690486719713267
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.12528832110208224
GenePert,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.3261694136110597
GenePert,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.43234549956611795
GenePert,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.3518289063391578
GenePert,replogle_k562_essential_k562,0,30.0,test,mae,all,0.0427180607018266
GenePert,replogle_k562_essential_k562,0,30.0,test,mae,de,0.18060803931611827
GenePert,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.04619322380865264
GenePert,replogle_k562_essential_k562,0,30.0,test,mse,all,0.004191329599596342
GenePert,replogle_k562_essential_k562,0,30.0,test,mse,de,0.057571365730502304
GenePert,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.005354768853723419
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.5704069754743172
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.4752271612204015
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.5566012710856384
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.12777771484206898
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.20153213745254966
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.15720364034786746
GenePert,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.32133709114418085
GenePert,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.4386461555875187
GenePert,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.353997461681229
GenePert,replogle_k562_essential_k562,0,50.0,test,mae,all,0.042476726341554694
GenePert,replogle_k562_essential_k562,0,50.0,test,mae,de,0.1781357868764196
GenePert,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.04568884701320459
GenePert,replogle_k562_essential_k562,0,50.0,test,mse,all,0.004146872832041707
GenePert,replogle_k562_essential_k562,0,50.0,test,mse,de,0.057401241286827276
GenePert,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.005245050302281607
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.5463079883880703
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_bias,de,0.43933953596135933
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_bias,hvg,0.5259197748920281
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_correlation,all,0.13803179175071628
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_correlation,de,0.2101167509105153
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_correlation,hvg,0.17315026976932918
GenePert,replogle_k562_essential_k562,0,80.0,test,correlation,all,0.3675866969426835
GenePert,replogle_k562_essential_k562,0,80.0,test,correlation,de,0.43572526756947294
GenePert,replogle_k562_essential_k562,0,80.0,test,correlation,hvg,0.40051520853269135
GenePert,replogle_k562_essential_k562,0,80.0,test,mae,all,0.04354709851180124
GenePert,replogle_k562_essential_k562,0,80.0,test,mae,de,0.18192054302602811
GenePert,replogle_k562_essential_k562,0,80.0,test,mae,hvg,0.04664862516037049
GenePert,replogle_k562_essential_k562,0,80.0,test,mse,all,0.004376707517430885
GenePert,replogle_k562_essential_k562,0,80.0,test,mse,de,0.06412382297497964
GenePert,replogle_k562_essential_k562,0,80.0,test,mse,hvg,0.005501020426257967
GenePert,replogle_k562_essential_k562,0,80.0,test,systema_bias,all,0.42210229378032355
GenePert,replogle_k562_essential_k562,0,80.0,test,systema_bias,de,0.3279663832108581
