method,context,repeat,x,set,metric_name,gene,value
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
GenePert,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.32145294840567146
GenePert,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.41588326370303436
GenePert,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.3422527778132065
GenePert,replogle_k562_essential_k562,0,10.0,test,mae,all,0.042616047621069304
GenePert,replogle_k562_essential_k562,0,10.0,test,mae,de,0.17963627204929108
GenePert,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.04619067696303929
GenePert,replogle_k562_essential_k562,0,10.0,test,mse,all,0.004153678756303014
GenePert,replogle_k562_essential_k562,0,10.0,test,mse,de,0.05659006721617082
GenePert,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.005308396919926184
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.5918185266590665
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.5077999174228595
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.5829272153573027
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.10075896113402708
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.1469048661720944
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.12528832135784443
GenePert,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.3424322445483163
GenePert,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.4420872415340664
GenePert,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.3667790931680568
GenePert,replogle_k562_essential_k562,0,30.0,test,mae,all,0.04239137941489407
GenePert,replogle_k562_essential_k562,0,30.0,test,mae,de,0.17646420532149137
GenePert,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.04579801950887807
GenePert,replogle_k562_essential_k562,0,30.0,test,mse,all,0.004063020437351524
GenePert,replogle_k562_essential_k562,0,30.0,test,mse,de,0.05447720137202184
GenePert,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.0051559042618012155
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.538272467679577
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.44851638743277406
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.5286142095234415
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.17526070167208727
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.23937978482356984
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.21119901970538682
GenePert,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.3688628664649311
GenePert,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.4787697954045519
GenePert,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.3970800819644642
GenePert,replogle_k562_essential_k562,0,50.0,test,mae,all,0.042749929755266994
GenePert,replogle_k562_essential_k562,0,50.0,test,mae,de,0.17805442041541159
GenePert,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.046141872257772346
GenePert,replogle_k562_essential_k562,0,50.0,test,mse,all,0.004131422624691364
GenePert,replogle_k562_essential_k562,0,50.0,test,mse,de,0.05536037543634112
GenePert,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.005227749486717105
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.49191336588277246
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_bias,de,0.39832259198127523
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_bias,hvg,0.4806110046829025
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_correlation,all,0.21442374047913218
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_correlation,de,0.2879171075317544
GenePert,replogle_k562_essential_k562,0,50.0,test,systema_correlation,hvg,0.25242993130731045
GenePert,replogle_k562_essential_k562,0,80.0,test,correlation,all,0.43254116014942995
GenePert,replogle_k562_essential_k562,0,80.0,test,correlation,de,0.5415734435471785
GenePert,replogle_k562_essential_k562,0,80.0,test,correlation,hvg,0.47819705135372426
GenePert,replogle_k562_essential_k562,0,80.0,test,mae,all,0.04448136367327851
GenePert,replogle_k562_essential_k562,0,80.0,test,mae,de,0.18802741080416466
GenePert,replogle_k562_essential_k562,0,80.0,test,mae,hvg,0.04782666369345904
GenePert,replogle_k562_essential_k562,0,80.0,test,mse,all,0.0045120151640922
GenePert,replogle_k562_essential_k562,0,80.0,test,mse,de,0.06421380695374153
GenePert,replogle_k562_essential_k562,0,80.0,test,mse,hvg,0.005668922237078721
GenePert,replogle_k562_essential_k562,0,80.0,test,systema_bias,all,0.4310188118109215
GenePert,replogle_k562_essential_k562,0,80.0,test,systema_bias,de,0.3268230130383035
