method,context,repeat,x,set,metric_name,gene,value
PRESAGE,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
PRESAGE,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
PRESAGE,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
PRESAGE,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.3480935370179175
PRESAGE,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.46184837556089736
PRESAGE,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.36984358913981696
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mae,all,0.0421683649684494
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mae,de,0.1736769081790232
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.04553240019052947
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mse,all,0.004008022906346365
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mse,de,0.053369521586493475
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.005085293744446703
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.6038551327150509
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.519071449908121
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.5932105316964119
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.16629900126723832
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.30165929287833404
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.20576830836798293
PRESAGE,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.3726607893885921
PRESAGE,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.4975878856157415
PRESAGE,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.39822537089590143
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mae,all,0.04220124920018451
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mae,de,0.1729774911737807
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.04554424922701642
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mse,all,0.003985401567425125
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mse,de,0.05248880036456514
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.005027430827471455
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.586267956210593
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.4885064983209197
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.5701657239890576
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.24445180527089974
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.35775964488536416
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.285819875939525
PRESAGE,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.39006043631077014
PRESAGE,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.5309959120015872
PRESAGE,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.411008852281868
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mae,all,0.03851732898686453
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mae,de,0.14771958252879902
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.041279821020312545
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mse,all,0.0032393463744549715
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mse,de,0.03907526457341817
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.004025294312731947
PRESAGE,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.3551021985560273
PRESAGE,replogle_k562_essential_k562,0,50.0,test,systema_bias,de,0.2980371791806736
PRESAGE,replogle_k562_essential_k562,0,50.0,test,systema_bias,hvg,0.33895627705372894
PRESAGE,replogle_k562_essential_k562,0,50.0,test,systema_correlation,all,0.32754446728645376
PRESAGE,replogle_k562_essential_k562,0,50.0,test,systema_correlation,de,0.3590871030922666
PRESAGE,replogle_k562_essential_k562,0,50.0,test,systema_correlation,hvg,0.383318755193793
PRESAGE,replogle_k562_essential_k562,0,80.0,test,correlation,all,0.5347284839645451
PRESAGE,replogle_k562_essential_k562,0,80.0,test,correlation,de,0.6842433557905435
PRESAGE,replogle_k562_essential_k562,0,80.0,test,correlation,hvg,0.5673832236860877
PRESAGE,replogle_k562_essential_k562,0,80.0,test,mae,all,0.04380865059692624
PRESAGE,replogle_k562_essential_k562,0,80.0,test,mae,de,0.1734008484142088
PRESAGE,replogle_k562_essential_k562,0,80.0,test,mae,hvg,0.047533580233370766
PRESAGE,replogle_k562_essential_k562,0,80.0,test,mse,all,0.004282605713469164
PRESAGE,replogle_k562_essential_k562,0,80.0,test,mse,de,0.051813955007361
PRESAGE,replogle_k562_essential_k562,0,80.0,test,mse,hvg,0.005398685360119049
PRESAGE,replogle_k562_essential_k562,0,80.0,test,systema_bias,all,0.26426286267586596
PRESAGE,replogle_k562_essential_k562,0,80.0,test,systema_bias,de,0.20437073904562714
PRESAGE,replogle_k562_essential_k562,0,80.0,test,systema_bias,hvg,0.253854899332824
PRESAGE,replogle_k562_essential_k562,0,80.0,test,systema_correlation,all,0.4315365914935088
PRESAGE,replogle_k562_essential_k562,0,80.0,test,systema_correlation,de,0.5721199033293264
PRESAGE,replogle_k562_essential_k562,0,80.0,test,systema_correlation,hvg,0.46836332252488044
PRESAGE,replogle_k562_essential_k562,1,0.0,test,correlation,all,0.014349556194416564
PRESAGE,replogle_k562_essential_k562,1,0.0,test,correlation,de,-0.019040855481399718
PRESAGE,replogle_k562_essential_k562,1,0.0,test,correlation,hvg,0.0025652673955369105
PRESAGE,replogle_k562_essential_k562,1,0.0,test,mae,all,0.04415916344687385
PRESAGE,replogle_k562_essential_k562,1,0.0,test,mae,de,0.20307064565019775
PRESAGE,replogle_k562_essential_k562,1,0.0,test,mae,hvg,0.047979937864536575
PRESAGE,replogle_k562_essential_k562,1,0.0,test,mse,all,0.004690482272372009
PRESAGE,replogle_k562_essential_k562,1,0.0,test,mse,de,0.06875074683743185
PRESAGE,replogle_k562_essential_k562,1,0.0,test,mse,hvg,0.006132885717412258
PRESAGE,replogle_k562_essential_k562,1,0.0,test,systema_bias,all,-0.269846792087986
