method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.40329824487960836
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5062919976478273
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.4618535756545438
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.05565046641529848
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.1868688957990076
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.06966194853805924
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.007760189998901665
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.07856815687318629
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.013009935272280391
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.2961222630023272
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.23412435003880327
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.278312684860852
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,0.22793985239416584
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.18149622453978748
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,0.2639132381969197
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.40268705166905316
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.49004388852225095
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.4556694668910383
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.05485674174433867
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.1793747787737865
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.06994423842434579
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,all,0.007531936316471302
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,de,0.07279254679923072
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,hvg,0.012983187589145522
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,all,0.3962670741083324
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,de,0.32481217733755907
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,hvg,0.3680045565560438
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,all,0.18387509524328605
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,de,0.16242957735662916
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,hvg,0.20674853086069303
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,all,0.3692031441631513
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,de,0.4725776093211243
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,hvg,0.4180055613845718
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,all,0.052014761857333336
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,de,0.16982433803741245
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,hvg,0.06415724485116402
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,all,0.006847335836753572
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,de,0.07082704907381819
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,hvg,0.011309353264746249
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,all,0.289431141451126
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,de,0.23256499296407637
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,hvg,0.2709857030753325
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,all,0.33077278832714246
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,de,0.25231165934610333
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,hvg,0.38560806967147665
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,all,0.21427159682952918
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,de,0.28732367786764995
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,hvg,0.24715659442336274
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,all,0.05004313248875793
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,de,0.1893304164309815
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,hvg,0.062429150200547484
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,all,0.006918260365358663
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,de,0.08293607822632788
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,hvg,0.011963074303797285
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,all,0.21397108793426292
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,de,0.1456631517101802
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,hvg,0.21118107672277397
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,all,0.37431280158110036
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,de,0.11155138751454409
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,hvg,0.44230770472813113
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,all,0.006091182374450857
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,de,0.05716932584125149
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,hvg,0.010260657278689538
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,all,0.0613676193573499
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,de,0.287748212884805
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,hvg,0.0823985936109684
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,all,0.011096477332221905
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,de,0.1541990788182411
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,hvg,0.021278581216153537
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,all,-0.46215796472851944
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,de,-0.48191927389965095
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,hvg,-0.5123633064394357
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,all,0.10755633207825754
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,de,-0.2497589656172177
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,hvg,0.11219434307832801
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,all,0.4128924338548333
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,de,0.504432911604636
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,hvg,0.47126193712157133
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,all,0.057040427413197974
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,de,0.18414932881955642
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,hvg,0.07262397384003218
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,all,0.008219098750251144
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,de,0.07591601006462598
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,hvg,0.014198531930009976
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,all,0.32303688781420925
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,de,0.2580083070915294
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,hvg,0.2987326480236451
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,all,0.1741556583289667
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,de,0.18498487187155116
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,hvg,0.19693789796868974
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,all,0.4180868077220595
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,de,0.5026633732571283
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,hvg,0.4730808844674
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,all,0.05566301390302322
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,de,0.1659850451759728
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,hvg,0.07161991936317483
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,all,0.007765247705342931
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,de,0.06791221019653168
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,hvg,0.013619225476364617
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,all,0.39845529261619667
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,de,0.31894024575525004
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,hvg,0.36305815250113393
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,all,0.1339956020102423
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,de,0.2126528709255097
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,hvg,0.1447909595203276
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,all,0.38516595626552874
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,de,0.4839911276091491
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,hvg,0.4349365388297276
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,all,0.05201649129783639
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,de,0.16480677995129792
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,hvg,0.06485386896993858
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,all,0.006735165916598529
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,de,0.0668026247854409
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,hvg,0.011246444572866464
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,all,0.3821252394467826
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,de,0.3073391172630425
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,hvg,0.3560042408479876
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,all,0.2855964401218184
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,de,0.24564264296881716
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,hvg,0.332637295643942
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,all,0.21031298557820913
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,de,0.290095879403134
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,hvg,0.22623635006823678
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,all,0.05106808835225277
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,de,0.19520923782296554
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,hvg,0.06351633881434504
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,all,0.007141988716796564
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,de,0.08525363157763988
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,hvg,0.012311680109630027
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,systema_bias,all,-0.18896674862983487
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,systema_bias,de,-0.20302330353223652
