method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.40329824487960836
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5062919976478273
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.4618535756545438
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.05565046641529848
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.1868688957990076
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.06966194853805924
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.007760189998901665
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.07856815687318629
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.013009935272280391
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.2961222630023272
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.23412435003880327
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.278312684860852
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,0.22793985239416584
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.18149622453978748
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,0.2639132381969197
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.3840851531642505
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.47933102393111243
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.4394500521185597
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.05532830563498081
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.1729068496983725
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.07026767266615215
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,all,0.007581087339453824
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,de,0.06927678973138833
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,hvg,0.01296665117070141
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,all,0.40512482147574236
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,de,0.33583849775732416
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,hvg,0.3754484782737391
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,all,0.1321227099335991
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,de,0.2086678500527172
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,hvg,0.14949512830278758
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,all,0.38439175400167525
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,de,0.4708014638526815
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,hvg,0.4390872060231861
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,all,0.05939507752079539
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,de,0.17183752901800395
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,hvg,0.0792050348525648
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,all,0.009007846672245658
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,de,0.07162093416506812
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,hvg,0.016779350054344194
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,all,0.41139989664137167
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,de,0.33509919885860795
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,hvg,0.36662451140286356
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,all,-0.04042554824625353
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,de,0.1425649153093928
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,hvg,-0.0680600521613302
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,all,0.23936863844535594
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,de,0.33264383437727163
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,hvg,0.2803867032926421
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,all,0.052222627116913486
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,de,0.21547883145536295
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,hvg,0.06580666593321241
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,all,0.007378116858247109
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,de,0.09092487128727858
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,hvg,0.012900595877291114
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,all,-0.021590117672914754
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,de,-0.0497326377501515
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,hvg,-0.06756703461092826
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,all,0.2680834631745001
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,de,-0.025415654223421538
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,hvg,0.30424490091460404
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,all,0.006091182374450857
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,de,0.05716932584125149
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,hvg,0.010260657278689538
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,all,0.0613676193573499
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,de,0.287748212884805
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,hvg,0.0823985936109684
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,all,0.011096477332221905
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,de,0.1541990788182411
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,hvg,0.021278581216153537
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,all,-0.46215796472851944
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,de,-0.48191927389965095
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,hvg,-0.5123633064394357
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,all,0.10755633207825754
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,de,-0.2497589656172177
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,hvg,0.11219434307832801
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,all,0.4128924338548333
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,de,0.504432911604636
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,hvg,0.47126193712157133
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,all,0.057040427413197974
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,de,0.18414932881955642
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,hvg,0.07262397384003218
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,all,0.008219098750251144
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,de,0.07591601006462598
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,hvg,0.014198531930009976
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,all,0.32303688781420925
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,de,0.2580083070915294
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,hvg,0.2987326480236451
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,all,0.1741556583289667
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,de,0.18498487187155116
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,hvg,0.19693789796868974
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,all,0.36988529075003485
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,de,0.4568370640073972
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,hvg,0.4251679549341645
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,all,0.05904204562013601
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,de,0.17347139934952616
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,hvg,0.07873013170971949
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,all,0.008943496836928926
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,de,0.07245607770192465
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,hvg,0.016608121910614983
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,all,0.41386306390226996
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,de,0.3413059567789466
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,hvg,0.3826472389335331
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,all,-0.026219057605488788
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,de,0.1354152445342443
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,hvg,-0.04872672373442416
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,all,0.3084517812099664
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,de,0.4247272105722079
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,hvg,0.35580455206176087
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,all,0.050474779844052436
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,de,0.1950883477921274
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,hvg,0.06288867742235216
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,all,0.006418279209406987
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,de,0.07846454908534299
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,hvg,0.010841223504283253
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,all,0.271601884222229
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,de,0.23307549266869593
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,hvg,0.25447698138818187
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,all,0.2708280265958525
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,de,0.08157280888567245
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,hvg,0.31422055799767773
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,all,0.35707658203825904
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,de,0.4687363127738437
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,hvg,0.4108834754089316
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,all,0.05808082840661081
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,de,0.22621892836842966
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,hvg,0.07387828085666297
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,all,0.008877044276924458
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,de,0.10420324202419591
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,hvg,0.015574439602398977
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,systema_bias,all,0.14115202389807555
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,systema_bias,de,0.08071355523786697
