method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.40329824487960836
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5062919976478273
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.4618535756545438
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.05565046641529848
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.1868688957990076
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.06966194853805924
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.007760189998901665
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.07856815687318629
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.013009935272280391
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.2961222630023272
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.23412435003880327
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.278312684860852
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,0.22793985239416584
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.18149622453978748
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,0.2639132381969197
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.40488326127734264
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.49547479673937816
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.460712154593805
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.0559103276354188
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.1707097007270641
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.07154387156745538
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,all,0.007720691612161154
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,de,0.0685913878193295
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,hvg,0.013358469223858076
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,all,0.4240864490372966
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,de,0.3510564929303051
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,hvg,0.3891360884160403
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,all,0.12142200916546697
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,de,0.22330356971612575
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,hvg,0.13850559005589186
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,all,0.41617069996253897
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,de,0.5071563404581966
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,hvg,0.4681981512367373
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,all,0.056620590213774025
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,de,0.17961245022579778
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,hvg,0.07249035638650178
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,all,0.008117463843558284
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,de,0.07787598618827339
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,hvg,0.014203483032445518
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,all,0.3695551930485709
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,de,0.2871536340188911
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,hvg,0.33075824755668143
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,all,0.14265724771468927
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,de,0.1914269861444747
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,hvg,0.15975518396635524
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,all,0.3671135594934094
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,de,0.46700273962092775
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,hvg,0.41726992997962714
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,all,0.059798357401761176
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,de,0.20464019632882963
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,hvg,0.07704567491806351
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,all,0.009462738182110061
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,de,0.0975512011293934
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,hvg,0.016837505746584245
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,all,0.17484667004383816
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,de,0.11541364317085422
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,hvg,0.13081964601303042
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,all,0.10687334475409559
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,de,0.14557394487047023
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,hvg,0.11748761836396324
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,all,0.006091182374450857
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,de,0.05716932584125149
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,hvg,0.010260657278689538
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,all,0.0613676193573499
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,de,0.287748212884805
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,hvg,0.0823985936109684
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,all,0.011096477332221905
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,de,0.1541990788182411
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,hvg,0.021278581216153537
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,all,-0.46215796472851944
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,de,-0.48191927389965095
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,hvg,-0.5123633064394357
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,all,0.10755633207825754
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,de,-0.2497589656172177
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,hvg,0.11219434307832801
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,all,0.4128924338548333
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,de,0.504432911604636
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,hvg,0.47126193712157133
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,all,0.057040427413197974
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,de,0.18414932881955642
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,hvg,0.07262397384003218
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,all,0.008219098750251144
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,de,0.07591601006462598
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,hvg,0.014198531930009976
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,all,0.32303688781420925
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,de,0.2580083070915294
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,hvg,0.2987326480236451
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,all,0.1741556583289667
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,de,0.18498487187155116
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,hvg,0.19693789796868974
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,all,0.4588058614838922
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,de,0.5675334596504688
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,hvg,0.5152953736221109
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,all,0.05604105402721606
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,de,0.17973573406512441
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,hvg,0.06986193012944814
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,all,0.007850890576687322
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,de,0.0746632844466951
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,hvg,0.013051778265895982
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,all,0.2930468402127952
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,de,0.23215035214235946
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,hvg,0.25727115024429753
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,all,0.2690195527910105
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,de,0.26419508460177904
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,hvg,0.30614449174605196
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,all,0.5269648995228879
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,de,0.6278012482984163
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,hvg,0.5869192932490231
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,all,0.06068901959708691
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,de,0.16996946858279183
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,hvg,0.0761419965954284
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,all,0.00904091132767105
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,de,0.07471307742931607
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,hvg,0.015139727727857611
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,all,0.2589999042404162
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,de,0.19487186127180844
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,hvg,0.21707843332599255
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,all,0.22732261347619787
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,de,0.37299694359160473
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,hvg,0.25280896167605676
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,all,0.454761610712885
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,de,0.5601476333979876
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,hvg,0.5121537744326963
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,all,0.06120208008184453
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,de,0.1991158624757752
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,hvg,0.07791282639490486
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,all,0.00964144213995486
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,de,0.0901293522870102
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,hvg,0.016822942206472406
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,systema_bias,all,0.11895006095552585
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,systema_bias,de,0.05133753738092053
