method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
Biolord,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.40329824487960836
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5062919976478273
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.4618535756545438
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.05565046641529848
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.1868688957990076
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.06966194853805924
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.007760189998901665
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.07856815687318629
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.013009935272280391
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.2961222630023272
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.23412435003880327
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.278312684860852
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,0.22793985239416584
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.18149622453978748
Biolord,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,0.2639132381969197
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.41372596202830947
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.5270778048505801
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.4662003342338271
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.0541802987074878
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.19216465214135767
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.06780510715336717
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,all,0.0074564847264794445
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,de,0.07940372930836206
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,mse,hvg,0.012560355995005858
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,all,0.23678333842312535
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,de,0.18424324182358742
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,hvg,0.2135631898234779
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,all,0.296614036458939
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,de,0.18381051563166192
Biolord,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,hvg,0.32959262430775643
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,all,0.3944821017408239
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,de,0.5026217219802651
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,hvg,0.43332933423499276
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,all,0.05379490364636516
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,de,0.19025264946290008
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mae,hvg,0.06708162757438538
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,all,0.007385010251164489
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,de,0.07920481116888838
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,mse,hvg,0.012369783066161325
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,all,0.1759081971743725
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,de,0.13489881047688054
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,hvg,0.1317448432894829
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,all,0.33164354044315153
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,de,0.23942987472482047
Biolord,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,hvg,0.37322436681990445
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,all,0.30878381782997855
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,de,0.41383356784083064
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,hvg,0.33937454350380775
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,all,0.056053084620321714
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,de,0.20484668999527222
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mae,hvg,0.07188377320245277
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,all,0.008475968450056165
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,de,0.0931117515529496
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,mse,hvg,0.015035309363029844
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,all,0.017407556159528954
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,de,-0.00804422030040469
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,hvg,-0.026231239065805326
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,all,0.2500566906477971
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,de,0.12847877656148357
Biolord,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,hvg,0.2740346582226108
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,all,0.006091182374450857
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,de,0.05716932584125149
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,hvg,0.010260657278689538
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,all,0.0613676193573499
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,de,0.287748212884805
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mae,hvg,0.0823985936109684
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,all,0.011096477332221905
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,de,0.1541990788182411
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,mse,hvg,0.021278581216153537
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,all,-0.46215796472851944
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,de,-0.48191927389965095
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,hvg,-0.5123633064394357
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,all,0.10755633207825754
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,de,-0.2497589656172177
Biolord,replogle_rpe1_essential_rpe1,1,0.0,test,systema_correlation,hvg,0.11219434307832801
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,all,0.4128924338548333
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,de,0.504432911604636
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,correlation,hvg,0.47126193712157133
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,all,0.057040427413197974
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,de,0.18414932881955642
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mae,hvg,0.07262397384003218
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,all,0.008219098750251144
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,de,0.07591601006462598
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,mse,hvg,0.014198531930009976
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,all,0.32303688781420925
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,de,0.2580083070915294
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_bias,hvg,0.2987326480236451
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,all,0.1741556583289667
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,de,0.18498487187155116
Biolord,replogle_rpe1_essential_rpe1,1,9.9,test,systema_correlation,hvg,0.19693789796868974
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,all,0.42750029832466807
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,de,0.5255611005810755
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,correlation,hvg,0.4821914970387359
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,all,0.055495276257582424
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,de,0.1793575526537362
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mae,hvg,0.07076927582626437
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,all,0.007746706043645171
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,de,0.07337851812584588
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,mse,hvg,0.013376797198296816
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,all,0.337859878770145
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,de,0.27877770772579696
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_bias,hvg,0.3099289612447326
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,all,0.1974794972067426
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,de,0.21767112677482187
Biolord,replogle_rpe1_essential_rpe1,1,29.9,test,systema_correlation,hvg,0.2192624495425499
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,all,0.4094473391941696
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,de,0.5259334087762718
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,correlation,hvg,0.45514077584655666
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,all,0.052985115662652425
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,de,0.18377795470973068
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mae,hvg,0.06539268888906025
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,all,0.007105450468239583
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,de,0.0748014911454439
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,mse,hvg,0.01171115895115986
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,all,0.1395120851326841
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,de,0.10636043172841925
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_bias,hvg,0.09274383425780462
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,all,0.336770485565864
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,de,0.24710967000204231
Biolord,replogle_rpe1_essential_rpe1,1,50.0,test,systema_correlation,hvg,0.3835926992419685
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,all,0.3323528835633024
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,de,0.43598724849597
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,correlation,hvg,0.368405780034285
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,all,0.0557626225044454
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,de,0.20826599050015862
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mae,hvg,0.07020043391869059
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,all,0.008353032356611983
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,de,0.09418862467675355
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,mse,hvg,0.014459458938772407
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,systema_bias,all,-0.01056815162375117
Biolord,replogle_rpe1_essential_rpe1,1,80.0,test,systema_bias,de,-0.042441034398431915
