method,context,repeat,x,set,metric_name,gene,value
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.4750388320664058
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5798686958266336
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.5336781085435223
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.054927845234093706
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.19603532049814487
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.06996974547980206
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.0074991857070305125
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.07996364628727984
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.012580016889160306
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.49928918190689814
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.4055605032165404
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.44978638805590293
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,0.18385302482364327
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.24363479764964485
GenePert,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,0.22148513676422
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.47239240652806685
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.5892964329690352
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.5271824317422776
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.054287814064675324
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.19246043900282753
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.06896296304496698
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,mse,all,0.0073045748481398
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,mse,de,0.07736358478748173
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,mse,hvg,0.012210046303922976
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,all,0.4949624214653366
GenePert,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,de,0.39571622200504597
