method,context,repeat,x,set,metric_name,gene,value
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.4795369157586645
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5858986278078501
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.5392391608315067
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.053550504451869624
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.20394239246509135
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.06714476643559132
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.007140959628539192
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.08355950609264791
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.011777243633340716
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.4789190346142551
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.40458515585191607
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.443968968694388
