method,context,repeat,x,set,metric_name,gene,value
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.48087170530398754
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.581972717048721
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.5394453541247759
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.05340658717278729
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.20207811926636707
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.0670131288538239
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.007106314509687065
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.08283802052095833
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.011737943448498735
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.48840715226996406
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.4104792897029521
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.4486777901021063
