method,context,repeat,x,set,metric_name,gene,value
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.4805658165248166
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5758167220991218
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.5385643530973832
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.05340414998918464
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.19743879394303868
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.06703492545446786
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.00707114836158455
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.08020377611686055
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.011648947495426165
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.4930313840775062
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.41542827314681
PRESAGE,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.45128669387638964
