method,context,repeat,x,set,metric_name,gene,value
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,all,0.1973443547983235
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,de,0.3361740746233297
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,hvg,0.2505264144751377
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mae,all,0.06833091118502123
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mae,de,0.22440026603093524
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mae,hvg,0.08380397818613958
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mse,all,0.010720280943799657
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mse,de,0.09961189730521149
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mse,hvg,0.017356219182864153
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,all,0.05373036586872258
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,de,0.06665396254455723
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,hvg,0.05561281631897789
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,all,0.05697031057251177
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,de,-0.14936400914860096
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,hvg,0.08706515122695846
GenePert,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,all,0.34882035786613474
GenePert,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,de,0.4330050486607111
GenePert,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,hvg,0.4262008194457882
GenePert,nadig_hepg2_essential_hepg2,0,0.9,test,mae,all,0.06208492173603915
GenePert,nadig_hepg2_essential_hepg2,0,0.9,test,mae,de,0.1948589088443887
