method,context,repeat,x,set,metric_name,gene,value
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.3578496581706372
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,0.619373870118568
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.40092870611769144
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06326482456852887
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.15645143746271073
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07518881586512452
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.008718062755590355
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.04968509524069234
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.01330258802508004
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.012938218441058512
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.09214444460912943
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,0.004811514915399271
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.3566820387427648
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,0.46583522719482146
PMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.39349751665422394
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,all,0.3585950280016211
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,de,0.6211685409889887
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,hvg,0.40188861601856146
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,mae,all,0.06328930000199905
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,mae,de,0.15649315543647208
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,mae,hvg,0.07522438400227145
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,mse,all,0.008724590575901057
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,mse,de,0.049730822913303566
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,mse,hvg,0.013315007950637909
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,all,-0.013244991948312456
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,de,-0.09256506037736381
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,hvg,0.0043599853989943205
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,all,0.35604059759494017
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,de,0.46628241005750254
PMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,hvg,0.39260550818291967
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,all,0.35821199801377857
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,de,0.6200092854781492
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,hvg,0.4015203135577495
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,mae,all,0.0632914405925693
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,mae,de,0.15634280841364176
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,mae,hvg,0.07521505661957212
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,mse,all,0.00872520930441381
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,mse,de,0.049567259660425564
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,mse,hvg,0.013307886519639534
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,all,-0.01292207860154877
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,de,-0.09159306129095786
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,hvg,0.0047379180573412115
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,all,0.3564526225961224
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,de,0.4664450393449277
PMean,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,hvg,0.39338423566330966
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.3608338204389468
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.623830069183144
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.40371436249501363
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.06327315257251694
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.15522734409940483
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.07514613664285023
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.008713286412172186
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.04879595591169948
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.013270401910277781
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,-0.010006834379691572
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,-0.08686994583132604
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.00878624334309424
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.36153757840805456
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.4732015765660229
PMean,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.40051596355446395
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.3573813279358887
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.6189606323466703
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.399413290623131
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.06345182123154348
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.1565391958070128
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.07560480433238426
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.008822251862529036
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.050026501861950484
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.013533746334960572
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,-0.008732867791566071
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,-0.09257028872458853
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.009808861349165856
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.3549002306901744
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.4677879844224764
PMean,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.38987196969029403
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.3672694655826662
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.6278173387815151
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.4117767503229616
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.062406876466270925
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.15746885329301877
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.07426397516647988
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.008427207833357687
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,mse,de,0.04978132530405748
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,mse,hvg,0.01284858024154747
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,all,-0.013921338743778088
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,de,-0.09051477962812231
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,systema_bias,hvg,0.003143631864825769
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,all,0.34949312020437945
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,de,0.46578428750478457
PMean,nadig_hepg2_essential_hepg2,0,50.0,test,systema_correlation,hvg,0.37940437317097053
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,all,0.36580648119401726
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,de,0.6294810309760399
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,correlation,hvg,0.40934343658070715
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,mae,all,0.06401450595404741
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,mae,de,0.1569038418167678
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,mae,hvg,0.07594677770578794
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,mse,all,0.008996607828381749
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,mse,de,0.05048898390435687
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,mse,hvg,0.013604028104081903
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,all,-0.01112896998286483
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,de,-0.10142002046630842
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,systema_bias,hvg,0.008027871206247521
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,all,0.35959918487381803
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,de,0.5064642651994808
PMean,nadig_hepg2_essential_hepg2,0,79.9,test,systema_correlation,hvg,0.4033361589169431
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,all,0.3578496581706372
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,de,0.619373870118568
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,correlation,hvg,0.40092870611769144
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,mae,all,0.06326482456852887
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,mae,de,0.15645143746271073
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,mae,hvg,0.07518881586512452
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,mse,all,0.008718062755590355
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,mse,de,0.04968509524069234
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,mse,hvg,0.01330258802508004
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,all,-0.012938218441058512
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,de,-0.09214444460912943
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,systema_bias,hvg,0.004811514915399271
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,all,0.3566820387427648
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,de,0.46583522719482146
PMean,nadig_hepg2_essential_hepg2,1,0.0,test,systema_correlation,hvg,0.39349751665422394
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,correlation,all,0.35795602406261817
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,correlation,de,0.6192384791698731
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,correlation,hvg,0.4012324241678662
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,mae,all,0.06331595285315121
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,mae,de,0.15648827450648645
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,mae,hvg,0.07525899944753152
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,mse,all,0.008734085510059783
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,mse,de,0.04975884183625043
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,mse,hvg,0.01333008257668532
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,systema_bias,all,-0.01318516164330125
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,systema_bias,de,-0.09248828611923245
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,systema_bias,hvg,0.004665293774431773
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,systema_correlation,all,0.35633632446966795
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,systema_correlation,de,0.4652306559727878
PMean,nadig_hepg2_essential_hepg2,1,0.4,test,systema_correlation,hvg,0.3931040104511503
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,correlation,all,0.35823588931913486
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,correlation,de,0.6194726866377702
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,correlation,hvg,0.40149104360741594
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,mae,all,0.06334922011582497
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,mae,de,0.15671866648074004
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,mae,hvg,0.07530130194957552
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,mse,all,0.008743465887492448
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,mse,de,0.049849136809559845
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,mse,hvg,0.013345545392908598
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,systema_bias,all,-0.013272250114033733
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,systema_bias,de,-0.09212333806441579
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,systema_bias,hvg,0.004453279281868866
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,systema_correlation,all,0.3559421434077986
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,systema_correlation,de,0.4648514238871956
PMean,nadig_hepg2_essential_hepg2,1,0.9,test,systema_correlation,hvg,0.39283521113193204
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,all,0.3520067518765409
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,de,0.612764179346272
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,correlation,hvg,0.3952082494651555
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,mae,all,0.06232920264887568
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,mae,de,0.15473847308208283
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,mae,hvg,0.07391444569887887
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,mse,all,0.008396152850840064
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,mse,de,0.048206306927207725
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,mse,hvg,0.01277054324744021
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,all,-0.00919991933045284
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,de,-0.08668663091484782
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,systema_bias,hvg,0.009063081284996423
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,all,0.35942351841946807
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,de,0.46478846711033966
PMean,nadig_hepg2_essential_hepg2,1,9.9,test,systema_correlation,hvg,0.3993117809276567
PMean,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,all,0.3523929086331456
PMean,nadig_hepg2_essential_hepg2,1,29.9,test,correlation,de,0.6166353533704118
