method,context,repeat,x,set,metric_name,gene,value
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.2699028459700858
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,0.4107217654026884
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.3151615854774352
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06808869792606762
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.18134592804576746
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.0828785468188781
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.01188151697893189
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.06954259149848904
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.0190126953253725
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.03079862186860817
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.04092832216001701
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.03190660555581726
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.29117380455214636
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,0.20781028592334375
scGen,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.33246743102798176
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,all,0.31680755105410563
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,de,0.46828893222091494
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,hvg,0.3674302824085817
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,mae,all,0.06026699696723667
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,mae,de,0.18130129306794548
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,mae,hvg,0.07244891881622723
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,mse,all,0.008320504120242149
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,mse,de,0.06524960725921952
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,mse,hvg,0.012843972200359368
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,all,0.040066759821014514
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,de,0.02733838345961228
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,hvg,0.04870701415892652
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,all,0.3238837176550945
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,de,0.22136688503552948
scGen,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,hvg,0.3680959629303766
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,all,0.32092588552706236
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,de,0.48274256633945584
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,hvg,0.36972896166396596
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,mae,all,0.06075531637269921
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,mae,de,0.17256913637764754
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,mae,hvg,0.07270361660435515
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,mse,all,0.008453282663565499
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,mse,de,0.060842047683055095
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,mse,hvg,0.012915434406402469
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,all,0.04219239891707685
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,de,0.022645698199563833
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,hvg,0.047591375706505866
scGen,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,all,0.32949760681331575
