method,context,repeat,x,set,metric_name,gene,value
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
scLambda,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,all,0.24143169101942505
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,de,0.35539528955579813
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,hvg,0.30127914438935743
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,mae,all,0.0636787011776932
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,mae,de,0.2260238301657281
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,mae,hvg,0.0789822901836515
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,mse,all,0.009728385231342986
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,mse,de,0.09951281863824693
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,mse,hvg,0.016090616473330203
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,all,0.173012800285667
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,de,0.151980086118243
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,hvg,0.17779676404096928
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,all,0.07596732077593531
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,de,-0.18334210396303588
scLambda,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,hvg,0.10109234977071263
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,all,0.3512619955307213
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,de,0.41474595248265517
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,hvg,0.4266081439361582
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,mae,all,0.05910398402723475
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,mae,de,0.19500577128742527
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,mae,hvg,0.07071038622448676
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,mse,all,0.008053994194126477
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,mse,de,0.07415013137785184
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,mse,hvg,0.012227533399652383
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,all,0.4576547067283417
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,de,0.3852953818828366
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,hvg,0.4520400419584208
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,all,0.16887601431689783
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,de,-0.07779020683610191
scLambda,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,hvg,0.22058661935422882
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.39469978422022783
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.495011373603085
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.4519975681259207
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05584414532336561
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.1781325295015878
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06672508641360193
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.007197930534165392
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.06664710184819342
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.011068793789155915
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.45392185274154795
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.37935750874046087
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.43888947724285093
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.27806946032323804
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.07535753554466612
scLambda,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,0.3277711022795769
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.41190359057305537
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.5056708435957457
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.45653660157768533
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.05418664380026567
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.1771221897690601
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.06471887570924771
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,all,0.006676757225406566
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,de,0.0648683559716638
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,mse,hvg,0.010211081627373879
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,all,0.3955601942493371
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,de,0.3573542595519114
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_bias,hvg,0.36164626564526287
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,all,0.3450112584496218
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,de,0.16643693313542818
scLambda,nadig_hepg2_essential_hepg2,0,29.9,test,systema_correlation,hvg,0.39672396009940064
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,all,0.4352134222109891
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,de,0.5340917747651678
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,correlation,hvg,0.48513675989509125
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,all,0.05318972036731762
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,de,0.16393877901988108
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mae,hvg,0.06339772692523919
scLambda,nadig_hepg2_essential_hepg2,0,50.0,test,mse,all,0.006287429218141814
