method,context,repeat,x,set,metric_name,gene,value
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
CMean,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,all,0.21734122430579797
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,de,0.22440872836796316
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,hvg,0.22521670740830738
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mae,all,0.05267981193833327
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mae,de,0.20902529409325332
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mae,hvg,0.05646274938751255
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mse,all,0.006086060933782156
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mse,de,0.0771376495476815
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,mse,hvg,0.00748924399863159
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,all,0.40490276152495275
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,de,0.3201145357536712
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,hvg,0.46200085716796974
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,all,0.0055144442854523305
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,de,-0.06569381044689901
CMean,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,hvg,-0.0048363990142991425
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,correlation,all,0.21575013162410828
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,correlation,de,0.3187888300282699
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,correlation,hvg,0.19337615143426476
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,mae,all,0.051488253100789916
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,mae,de,0.21321453696342368
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,mae,hvg,0.05536613043644653
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,mse,all,0.005978144011443095
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,mse,de,0.07894537622415344
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,mse,hvg,0.007452943598659155
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,systema_bias,all,0.36839655274884403
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,systema_bias,de,0.3693859807278854
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,systema_bias,hvg,0.3268148139744071
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,systema_correlation,all,0.042511400294575924
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,systema_correlation,de,-0.04076142439547011
CMean,nadig_jurkat_essential_jurkat,0,1.0,test,systema_correlation,hvg,0.05420525248320107
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.30065518262062557
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.3638994254242764
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.2916767958788269
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.04990953859052788
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.2108925957484013
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.053365964758362125
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.0056360575385657205
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.07747410799749097
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.0069604051259763615
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.6496582381080257
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.6056562969156736
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.6619389361075333
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.05508483990915383
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,-0.10766869726273585
CMean,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.06935238288777756
CMean,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.3055669728699478
CMean,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.3537765168430709
CMean,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.29757754714079826
CMean,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.04951098514010602
CMean,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.20617475142036948
CMean,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.05308595165334363
CMean,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.005522277057337204
CMean,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.07395283527146464
