method,context,repeat,x,set,metric_name,gene,value
LM,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
LM,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
LM,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
LM,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
LM,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
LM,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,all,0.1389180741524992
LM,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,de,0.16119276693967344
LM,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,hvg,0.13899651851317968
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mae,all,0.06023645707606819
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mae,de,0.2224961498987361
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mae,hvg,0.06486451632058303
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mse,all,0.008693703790995695
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mse,de,0.09875246118230002
LM,nadig_jurkat_essential_jurkat,0,0.4,test,mse,hvg,0.010940652626569446
LM,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,all,0.18031056009532903
LM,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,de,0.10845105541767766
LM,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,hvg,0.20632209227741816
LM,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,all,-0.004706434859249972
LM,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,de,-0.058777155948317
LM,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,hvg,-0.011189906915488709
LM,nadig_jurkat_essential_jurkat,0,1.0,test,correlation,all,0.15721180532062146
LM,nadig_jurkat_essential_jurkat,0,1.0,test,correlation,de,0.26098153278119013
LM,nadig_jurkat_essential_jurkat,0,1.0,test,correlation,hvg,0.13822622308327615
LM,nadig_jurkat_essential_jurkat,0,1.0,test,mae,all,0.05458576690115926
LM,nadig_jurkat_essential_jurkat,0,1.0,test,mae,de,0.21232254665149314
LM,nadig_jurkat_essential_jurkat,0,1.0,test,mae,hvg,0.05844451819332879
LM,nadig_jurkat_essential_jurkat,0,1.0,test,mse,all,0.006643142351922208
LM,nadig_jurkat_essential_jurkat,0,1.0,test,mse,de,0.07824202351824246
LM,nadig_jurkat_essential_jurkat,0,1.0,test,mse,hvg,0.00819835523208599
LM,nadig_jurkat_essential_jurkat,0,1.0,test,systema_bias,all,0.1613437060416904
LM,nadig_jurkat_essential_jurkat,0,1.0,test,systema_bias,de,0.15662722135002444
LM,nadig_jurkat_essential_jurkat,0,1.0,test,systema_bias,hvg,0.12761558225495795
LM,nadig_jurkat_essential_jurkat,0,1.0,test,systema_correlation,all,0.05596839804339961
LM,nadig_jurkat_essential_jurkat,0,1.0,test,systema_correlation,de,-0.02599716416521521
LM,nadig_jurkat_essential_jurkat,0,1.0,test,systema_correlation,hvg,0.06609057123326001
LM,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.26624313146962264
LM,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.322751990725856
LM,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.2520222543614131
LM,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.05104809134819221
LM,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.20222733322918018
LM,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05510263626968737
LM,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.005758731272321172
LM,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.07196592964528542
LM,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.007180112066067026
LM,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.4834468834455382
LM,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.41739986962797593
LM,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.47262268558279796
LM,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.04809586784552007
LM,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.06423566467890163
LM,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.05040684268412925
LM,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.2934167579360531
LM,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.333294323220296
LM,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.2829425152135614
LM,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.0495515255095223
LM,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.19712964692171683
LM,nadig_jurkat_essential_jurkat,0,29.9,test,mae,hvg,0.053114777617173155
LM,nadig_jurkat_essential_jurkat,0,29.9,test,mse,all,0.005413295337312842
LM,nadig_jurkat_essential_jurkat,0,29.9,test,mse,de,0.06765326558239786
LM,nadig_jurkat_essential_jurkat,0,29.9,test,mse,hvg,0.00668793110351164
LM,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,all,0.5586261045333595
LM,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,de,0.49195066127124915
LM,nadig_jurkat_essential_jurkat,0,29.9,test,systema_bias,hvg,0.5554047928994054
LM,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,all,0.07565152429597578
LM,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,de,0.10107721699752284
LM,nadig_jurkat_essential_jurkat,0,29.9,test,systema_correlation,hvg,0.08960560272838508
LM,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,all,0.3053346315410535
LM,nadig_jurkat_essential_jurkat,0,50.0,test,correlation,de,0.3504203715527263
