method,context,repeat,x,set,metric_name,gene,value
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
scGPT,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,all,0.11399228268315925
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,de,0.01264163626926664
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,correlation,hvg,0.09721219826150429
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,mae,all,0.056923322710126824
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,mae,de,0.21648900253195705
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,mae,hvg,0.061011084727685516
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,mse,all,0.006967993835897969
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,mse,de,0.08082881591542079
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,mse,hvg,0.008657484906887501
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,all,0.07858562041050554
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,de,-0.059800666310060854
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,systema_bias,hvg,0.05160964519225937
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,all,0.01862966821607939
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,de,-0.1804488448523252
scGPT,nadig_jurkat_essential_jurkat,0,0.4,test,systema_correlation,hvg,0.027690417930717002
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,correlation,all,0.13727211019270022
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,correlation,de,0.0868928346074234
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,correlation,hvg,0.11577855453637396
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,mae,all,0.09628831524886758
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,mae,de,0.24184487588989434
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,mae,hvg,0.10327458685213196
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,mse,all,0.015461787745388018
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,mse,de,0.09465879578182815
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,mse,hvg,0.01835581593513547
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,systema_bias,all,0.1409826815089863
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,systema_bias,de,0.0038756260869018217
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,systema_bias,hvg,0.10162718775986614
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,systema_correlation,all,-0.012314816406598329
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,systema_correlation,de,-0.07183873740232832
scGPT,nadig_jurkat_essential_jurkat,0,1.0,test,systema_correlation,hvg,-0.011544777882847483
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.22297375556657742
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.3384066810613182
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.19983448639505713
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.05212878713191508
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.20570233508417526
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.056019480563720844
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.00606023316593126
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.07113085515656016
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.007521430529497277
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.2882606865888089
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.08638332075529914
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.2879309246432841
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.06868011116231369
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,de,0.14567103727353933
scGPT,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,hvg,0.055412704687903575
scGPT,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,all,0.23525393573827572
scGPT,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,de,0.35670488213995705
scGPT,nadig_jurkat_essential_jurkat,0,29.9,test,correlation,hvg,0.2157521038359829
scGPT,nadig_jurkat_essential_jurkat,0,29.9,test,mae,all,0.05169921451833135
scGPT,nadig_jurkat_essential_jurkat,0,29.9,test,mae,de,0.19629083858874077
