method,context,repeat,x,set,metric_name,gene,value
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.11821010490815836
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,de,0.0022015620920360175
Biolord,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.11469756250220717
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,all,0.12917626981041663
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,de,0.35159092323317204
Biolord,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.13733440619665915
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,all,0.0474122811278448
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,de,0.2884518465074828
Biolord,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.0580819442397986
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,0.09975789892020977
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.1270137910386715
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,0.06569017423157718
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,-0.034968606347082674
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.10057433195348649
Biolord,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,-0.03935498030795106
Biolord,replogle_k562_essential_k562,0,0.5,test,correlation,all,0.17015502670997976
Biolord,replogle_k562_essential_k562,0,0.5,test,correlation,de,0.18585577371948703
Biolord,replogle_k562_essential_k562,0,0.5,test,correlation,hvg,0.16661555365073275
Biolord,replogle_k562_essential_k562,0,0.5,test,mae,all,0.04972588182595405
Biolord,replogle_k562_essential_k562,0,0.5,test,mae,de,0.18056410900614378
Biolord,replogle_k562_essential_k562,0,0.5,test,mae,hvg,0.05502418410138441
Biolord,replogle_k562_essential_k562,0,0.5,test,mse,all,0.005631936414287714
Biolord,replogle_k562_essential_k562,0,0.5,test,mse,de,0.06102297457010653
Biolord,replogle_k562_essential_k562,0,0.5,test,mse,hvg,0.007462273707814531
Biolord,replogle_k562_essential_k562,0,0.5,test,systema_bias,all,0.14784802213327763
Biolord,replogle_k562_essential_k562,0,0.5,test,systema_bias,de,6.72825829849663e-05
Biolord,replogle_k562_essential_k562,0,0.5,test,systema_bias,hvg,0.10100743471009671
Biolord,replogle_k562_essential_k562,0,0.5,test,systema_correlation,all,0.05955307822582715
Biolord,replogle_k562_essential_k562,0,0.5,test,systema_correlation,de,0.007918495347459562
Biolord,replogle_k562_essential_k562,0,0.5,test,systema_correlation,hvg,0.07585151864991994
Biolord,replogle_k562_essential_k562,0,1.0,test,correlation,all,0.20633025704436359
Biolord,replogle_k562_essential_k562,0,1.0,test,correlation,de,0.2870200381846569
Biolord,replogle_k562_essential_k562,0,1.0,test,correlation,hvg,0.2192272005604526
Biolord,replogle_k562_essential_k562,0,1.0,test,mae,all,0.0455366972744129
