method,context,repeat,x,set,metric_name,gene,value
CMean,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
CMean,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
CMean,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
CMean,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
CMean,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
CMean,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
CMean,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
CMean,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
CMean,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
CMean,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
CMean,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
CMean,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
CMean,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
CMean,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
CMean,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
CMean,replogle_k562_essential_k562,0,0.5,test,correlation,all,0.15505270840286361
CMean,replogle_k562_essential_k562,0,0.5,test,correlation,de,0.1698751884977552
CMean,replogle_k562_essential_k562,0,0.5,test,correlation,hvg,0.13618470027706464
CMean,replogle_k562_essential_k562,0,0.5,test,mae,all,0.04849800260001739
CMean,replogle_k562_essential_k562,0,0.5,test,mae,de,0.18907026044919711
CMean,replogle_k562_essential_k562,0,0.5,test,mae,hvg,0.05484755983418902
CMean,replogle_k562_essential_k562,0,0.5,test,mse,all,0.005220107062671514
CMean,replogle_k562_essential_k562,0,0.5,test,mse,de,0.06312566458915736
CMean,replogle_k562_essential_k562,0,0.5,test,mse,hvg,0.007192579897619282
CMean,replogle_k562_essential_k562,0,0.5,test,systema_bias,all,0.18386037737262564
CMean,replogle_k562_essential_k562,0,0.5,test,systema_bias,de,0.017658621345704967
CMean,replogle_k562_essential_k562,0,0.5,test,systema_bias,hvg,0.0921559464048766
CMean,replogle_k562_essential_k562,0,0.5,test,systema_correlation,all,0.011793286423771875
