method,context,repeat,x,set,metric_name,gene,value
GEARS,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
GEARS,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
GEARS,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
GEARS,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
GEARS,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
GEARS,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
GEARS,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
GEARS,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
GEARS,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
GEARS,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
GEARS,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
GEARS,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
GEARS,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
GEARS,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
GEARS,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
GEARS,replogle_k562_essential_k562,0,0.5,test,correlation,all,0.11159710228836728
GEARS,replogle_k562_essential_k562,0,0.5,test,correlation,de,0.09708172849750955
GEARS,replogle_k562_essential_k562,0,0.5,test,correlation,hvg,0.11877992744575255
GEARS,replogle_k562_essential_k562,0,0.5,test,mae,all,0.056964103811645725
GEARS,replogle_k562_essential_k562,0,0.5,test,mae,de,0.19526779998585833
GEARS,replogle_k562_essential_k562,0,0.5,test,mae,hvg,0.062295768759200856
GEARS,replogle_k562_essential_k562,0,0.5,test,mse,all,0.006388894994112438
GEARS,replogle_k562_essential_k562,0,0.5,test,mse,de,0.0654827935511197
GEARS,replogle_k562_essential_k562,0,0.5,test,mse,hvg,0.008146018757490929
GEARS,replogle_k562_essential_k562,0,0.5,test,systema_bias,all,0.061424314886318034
GEARS,replogle_k562_essential_k562,0,0.5,test,systema_bias,de,-0.08126154133875423
GEARS,replogle_k562_essential_k562,0,0.5,test,systema_bias,hvg,0.06098286970940523
GEARS,replogle_k562_essential_k562,0,0.5,test,systema_correlation,all,0.004095848863392169
GEARS,replogle_k562_essential_k562,0,0.5,test,systema_correlation,de,-0.0833183530943807
GEARS,replogle_k562_essential_k562,0,0.5,test,systema_correlation,hvg,0.008420457579871622
GEARS,replogle_k562_essential_k562,0,1.0,test,correlation,all,0.1653635069024463
GEARS,replogle_k562_essential_k562,0,1.0,test,correlation,de,0.25123801829742637
GEARS,replogle_k562_essential_k562,0,1.0,test,correlation,hvg,0.18334527055115943
GEARS,replogle_k562_essential_k562,0,1.0,test,mae,all,0.050072815781540256
GEARS,replogle_k562_essential_k562,0,1.0,test,mae,de,0.18533138722203976
GEARS,replogle_k562_essential_k562,0,1.0,test,mae,hvg,0.05400332643577216
GEARS,replogle_k562_essential_k562,0,1.0,test,mse,all,0.005229404043941616
GEARS,replogle_k562_essential_k562,0,1.0,test,mse,de,0.06094030358311053
GEARS,replogle_k562_essential_k562,0,1.0,test,mse,hvg,0.006587665853181819
GEARS,replogle_k562_essential_k562,0,1.0,test,systema_bias,all,0.1559402006352338
GEARS,replogle_k562_essential_k562,0,1.0,test,systema_bias,de,0.1315839542451469
GEARS,replogle_k562_essential_k562,0,1.0,test,systema_bias,hvg,0.1615651421167205
GEARS,replogle_k562_essential_k562,0,1.0,test,systema_correlation,all,0.034639895432065186
GEARS,replogle_k562_essential_k562,0,1.0,test,systema_correlation,de,0.006951034371672005
GEARS,replogle_k562_essential_k562,0,1.0,test,systema_correlation,hvg,0.05255769754543929
GEARS,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.22481226517313072
GEARS,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.27937500160612916
GEARS,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.25365747665743865
GEARS,replogle_k562_essential_k562,0,10.0,test,mae,all,0.053711226315505574
GEARS,replogle_k562_essential_k562,0,10.0,test,mae,de,0.1735391282597518
GEARS,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.060288821718144155
GEARS,replogle_k562_essential_k562,0,10.0,test,mse,all,0.005746449284118807
GEARS,replogle_k562_essential_k562,0,10.0,test,mse,de,0.05335181959476281
GEARS,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.00758356624623209
GEARS,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.3906233596465134
GEARS,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.3694116095957073
GEARS,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.4321486767638083
GEARS,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,-0.02119906145042707
GEARS,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.07186381162514853
GEARS,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,-0.040408723154170906
GEARS,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.2268872379213482
GEARS,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.2651582806950105
GEARS,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.2500567447288459
GEARS,replogle_k562_essential_k562,0,30.0,test,mae,all,0.06833372625296592
GEARS,replogle_k562_essential_k562,0,30.0,test,mae,de,0.17474185284752125
GEARS,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.08191975904614264
GEARS,replogle_k562_essential_k562,0,30.0,test,mse,all,0.008879568571757613
GEARS,replogle_k562_essential_k562,0,30.0,test,mse,de,0.05260790937162655
GEARS,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.01218881220353923
GEARS,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.4612194767541013
GEARS,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.38593729731274035
GEARS,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.48297539261825573
GEARS,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,-0.07040373438358363
GEARS,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.0773556803255018
GEARS,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,-0.09676359581756783
GEARS,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.24054109433715878
GEARS,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.313881214356529
GEARS,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.26389648076798755
GEARS,replogle_k562_essential_k562,0,50.0,test,mae,all,0.047011009286356834
GEARS,replogle_k562_essential_k562,0,50.0,test,mae,de,0.1755405492719164
GEARS,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.05132622351779446
GEARS,replogle_k562_essential_k562,0,50.0,test,mse,all,0.004595217933412327
GEARS,replogle_k562_essential_k562,0,50.0,test,mse,de,0.05262172006070508
GEARS,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.005844653389513873
GEARS,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.35561280648806
GEARS,replogle_k562_essential_k562,0,50.0,test,systema_bias,de,0.35525994008630135
GEARS,replogle_k562_essential_k562,0,50.0,test,systema_bias,hvg,0.39638044253689697
GEARS,replogle_k562_essential_k562,0,50.0,test,systema_correlation,all,0.05803437267009827
GEARS,replogle_k562_essential_k562,0,50.0,test,systema_correlation,de,0.061589675475492954
GEARS,replogle_k562_essential_k562,0,50.0,test,systema_correlation,hvg,0.06386509884794567
GEARS,replogle_k562_essential_k562,0,80.0,test,correlation,all,0.2464930830512296
GEARS,replogle_k562_essential_k562,0,80.0,test,correlation,de,0.33048883907631366
GEARS,replogle_k562_essential_k562,0,80.0,test,correlation,hvg,0.2733729319953901
GEARS,replogle_k562_essential_k562,0,80.0,test,mae,all,0.04684873211767811
GEARS,replogle_k562_essential_k562,0,80.0,test,mae,de,0.17096721631244177
GEARS,replogle_k562_essential_k562,0,80.0,test,mae,hvg,0.051877655799215265
GEARS,replogle_k562_essential_k562,0,80.0,test,mse,all,0.00450030167700253
GEARS,replogle_k562_essential_k562,0,80.0,test,mse,de,0.050977970067936806
GEARS,replogle_k562_essential_k562,0,80.0,test,mse,hvg,0.005784387869119262
GEARS,replogle_k562_essential_k562,0,80.0,test,systema_bias,all,0.3649422318396707
GEARS,replogle_k562_essential_k562,0,80.0,test,systema_bias,de,0.35392996910394847
GEARS,replogle_k562_essential_k562,0,80.0,test,systema_bias,hvg,0.39368953694258974
GEARS,replogle_k562_essential_k562,0,80.0,test,systema_correlation,all,0.052118011038851046
GEARS,replogle_k562_essential_k562,0,80.0,test,systema_correlation,de,0.07256467928824557
