method,context,repeat,x,set,metric_name,gene,value
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
GenePert,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
GenePert,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
GenePert,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
GenePert,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
GenePert,replogle_k562_essential_k562,0,0.5,test,correlation,all,0.15694622542636807
GenePert,replogle_k562_essential_k562,0,0.5,test,correlation,de,0.18174057117155645
GenePert,replogle_k562_essential_k562,0,0.5,test,correlation,hvg,0.13825536718879164
GenePert,replogle_k562_essential_k562,0,0.5,test,mae,all,0.048368766026908934
GenePert,replogle_k562_essential_k562,0,0.5,test,mae,de,0.1885519193381066
GenePert,replogle_k562_essential_k562,0,0.5,test,mae,hvg,0.05454858588025686
GenePert,replogle_k562_essential_k562,0,0.5,test,mse,all,0.005197728538957015
GenePert,replogle_k562_essential_k562,0,0.5,test,mse,de,0.06297189408637224
GenePert,replogle_k562_essential_k562,0,0.5,test,mse,hvg,0.007141786027594856
GenePert,replogle_k562_essential_k562,0,0.5,test,systema_bias,all,0.18641333505322108
GenePert,replogle_k562_essential_k562,0,0.5,test,systema_bias,de,0.03099753402932279
GenePert,replogle_k562_essential_k562,0,0.5,test,systema_bias,hvg,0.09306815177395526
GenePert,replogle_k562_essential_k562,0,0.5,test,systema_correlation,all,0.013652646671830469
GenePert,replogle_k562_essential_k562,0,0.5,test,systema_correlation,de,-0.025985261912898888
GenePert,replogle_k562_essential_k562,0,0.5,test,systema_correlation,hvg,0.025964472916262506
GenePert,replogle_k562_essential_k562,0,1.0,test,correlation,all,0.25904198847683924
GenePert,replogle_k562_essential_k562,0,1.0,test,correlation,de,0.3533625288498693
GenePert,replogle_k562_essential_k562,0,1.0,test,correlation,hvg,0.27976022810160817
GenePert,replogle_k562_essential_k562,0,1.0,test,mae,all,0.043610306941101996
GenePert,replogle_k562_essential_k562,0,1.0,test,mae,de,0.1869452385730406
GenePert,replogle_k562_essential_k562,0,1.0,test,mae,hvg,0.04720515522964286
GenePert,replogle_k562_essential_k562,0,1.0,test,mse,all,0.0043709120045176035
GenePert,replogle_k562_essential_k562,0,1.0,test,mse,de,0.060191327010745636
GenePert,replogle_k562_essential_k562,0,1.0,test,mse,hvg,0.005610491268784727
GenePert,replogle_k562_essential_k562,0,1.0,test,systema_bias,all,0.4692204318693247
GenePert,replogle_k562_essential_k562,0,1.0,test,systema_bias,de,0.40113099639845345
GenePert,replogle_k562_essential_k562,0,1.0,test,systema_bias,hvg,0.48159695771579225
GenePert,replogle_k562_essential_k562,0,1.0,test,systema_correlation,all,0.05469413090629958
GenePert,replogle_k562_essential_k562,0,1.0,test,systema_correlation,de,-0.04611929871542981
GenePert,replogle_k562_essential_k562,0,1.0,test,systema_correlation,hvg,0.07825492315491862
GenePert,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.3222494585988472
GenePert,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.4141079166014412
GenePert,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.34191066400688286
GenePert,replogle_k562_essential_k562,0,10.0,test,mae,all,0.04236622099349487
GenePert,replogle_k562_essential_k562,0,10.0,test,mae,de,0.1790893223362518
GenePert,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.04591954209659246
GenePert,replogle_k562_essential_k562,0,10.0,test,mse,all,0.004099778593854728
GenePert,replogle_k562_essential_k562,0,10.0,test,mse,de,0.05555635072313446
GenePert,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.00523857112903139
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.5736315600058163
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.49515787064528993
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.5775990618383174
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.11838870815685688
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.11443626232990688
GenePert,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.14393163631066566
GenePert,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.33333324437598133
GenePert,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.43527310142469655
GenePert,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.3550954024686422
GenePert,replogle_k562_essential_k562,0,30.0,test,mae,all,0.04151484560977824
GenePert,replogle_k562_essential_k562,0,30.0,test,mae,de,0.16537679988197476
GenePert,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.045026942234231336
GenePert,replogle_k562_essential_k562,0,30.0,test,mse,all,0.0037660043765530412
GenePert,replogle_k562_essential_k562,0,30.0,test,mse,de,0.04734082286411417
GenePert,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.004776347840859853
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.5567412675490147
GenePert,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.4651797775943299
