method,context,repeat,x,set,metric_name,gene,value
LM,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
LM,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
LM,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
LM,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
LM,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
LM,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
LM,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
LM,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
LM,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
LM,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
LM,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
LM,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
LM,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
LM,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
LM,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
LM,replogle_k562_essential_k562,0,0.5,test,correlation,all,0.10280777888736925
LM,replogle_k562_essential_k562,0,0.5,test,correlation,de,0.13925307857540564
LM,replogle_k562_essential_k562,0,0.5,test,correlation,hvg,0.08886278360996118
LM,replogle_k562_essential_k562,0,0.5,test,mae,all,0.06066829113539029
LM,replogle_k562_essential_k562,0,0.5,test,mae,de,0.2095803189906684
LM,replogle_k562_essential_k562,0,0.5,test,mae,hvg,0.06868412700107697
LM,replogle_k562_essential_k562,0,0.5,test,mse,all,0.010546734133954487
LM,replogle_k562_essential_k562,0,0.5,test,mse,de,0.10211867530921113
LM,replogle_k562_essential_k562,0,0.5,test,mse,hvg,0.015122097795540102
LM,replogle_k562_essential_k562,0,0.5,test,systema_bias,all,0.009422568382577386
LM,replogle_k562_essential_k562,0,0.5,test,systema_bias,de,-0.12573338474847004
LM,replogle_k562_essential_k562,0,0.5,test,systema_bias,hvg,-0.06260588082893077
LM,replogle_k562_essential_k562,0,0.5,test,systema_correlation,all,0.026786938993730986
LM,replogle_k562_essential_k562,0,0.5,test,systema_correlation,de,-0.012026897271116473
LM,replogle_k562_essential_k562,0,0.5,test,systema_correlation,hvg,0.04048299500382698
LM,replogle_k562_essential_k562,0,1.0,test,correlation,all,0.2087945149616072
LM,replogle_k562_essential_k562,0,1.0,test,correlation,de,0.30371541220677795
LM,replogle_k562_essential_k562,0,1.0,test,correlation,hvg,0.2294919989588328
LM,replogle_k562_essential_k562,0,1.0,test,mae,all,0.046614362244393893
LM,replogle_k562_essential_k562,0,1.0,test,mae,de,0.1837995846434667
LM,replogle_k562_essential_k562,0,1.0,test,mae,hvg,0.0504288457646044
LM,replogle_k562_essential_k562,0,1.0,test,mse,all,0.004971536031397073
LM,replogle_k562_essential_k562,0,1.0,test,mse,de,0.05878464464137943
LM,replogle_k562_essential_k562,0,1.0,test,mse,hvg,0.006350548130336868
LM,replogle_k562_essential_k562,0,1.0,test,systema_bias,all,0.2922571436870968
LM,replogle_k562_essential_k562,0,1.0,test,systema_bias,de,0.23530073472112012
LM,replogle_k562_essential_k562,0,1.0,test,systema_bias,hvg,0.31228836207666194
LM,replogle_k562_essential_k562,0,1.0,test,systema_correlation,all,0.06294788545879716
LM,replogle_k562_essential_k562,0,1.0,test,systema_correlation,de,-0.008177373953638578
LM,replogle_k562_essential_k562,0,1.0,test,systema_correlation,hvg,0.08546378901363721
LM,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.28461640724698895
LM,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.37123239613555986
LM,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.29808163843536173
LM,replogle_k562_essential_k562,0,10.0,test,mae,all,0.04344818480682197
LM,replogle_k562_essential_k562,0,10.0,test,mae,de,0.17540231258857322
LM,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.04750921735692593
LM,replogle_k562_essential_k562,0,10.0,test,mse,all,0.004244365290993808
