method,context,repeat,x,set,metric_name,gene,value
PMean,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.27982176975544987
PMean,replogle_k562_essential_k562,0,0.0,test,correlation,de,0.5663602578887794
PMean,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.29973113436327636
PMean,replogle_k562_essential_k562,0,0.0,test,mae,all,0.055489396533520606
PMean,replogle_k562_essential_k562,0,0.0,test,mae,de,0.13443518204168292
PMean,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.06250614544486495
PMean,replogle_k562_essential_k562,0,0.0,test,mse,all,0.00657977999030701
PMean,replogle_k562_essential_k562,0,0.0,test,mse,de,0.0341513863782185
PMean,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.009115881792054758
PMean,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.0356939344998885
PMean,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.07911916690148103
PMean,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.005183733599640216
PMean,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.25538645378349173
PMean,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,0.5025901356521115
PMean,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.2754078908112216
PMean,replogle_k562_essential_k562,0,0.5,test,correlation,all,0.2800712918828466
PMean,replogle_k562_essential_k562,0,0.5,test,correlation,de,0.5669080074214491
PMean,replogle_k562_essential_k562,0,0.5,test,correlation,hvg,0.3000701704597667
PMean,replogle_k562_essential_k562,0,0.5,test,mae,all,0.05549057743686147
PMean,replogle_k562_essential_k562,0,0.5,test,mae,de,0.13430381655546328
PMean,replogle_k562_essential_k562,0,0.5,test,mae,hvg,0.06251637105934864
PMean,replogle_k562_essential_k562,0,0.5,test,mse,all,0.006582601177577252
PMean,replogle_k562_essential_k562,0,0.5,test,mse,de,0.03412217662896632
PMean,replogle_k562_essential_k562,0,0.5,test,mse,hvg,0.009122920843098296
PMean,replogle_k562_essential_k562,0,0.5,test,systema_bias,all,-0.03549490777422667
PMean,replogle_k562_essential_k562,0,0.5,test,systema_bias,de,-0.07870672978612
PMean,replogle_k562_essential_k562,0,0.5,test,systema_bias,hvg,-0.004918343887938718
PMean,replogle_k562_essential_k562,0,0.5,test,systema_correlation,all,0.2551842513181981
PMean,replogle_k562_essential_k562,0,0.5,test,systema_correlation,de,0.5029933671542344
PMean,replogle_k562_essential_k562,0,0.5,test,systema_correlation,hvg,0.2750451646240396
PMean,replogle_k562_essential_k562,0,1.0,test,correlation,all,0.2796879317955341
PMean,replogle_k562_essential_k562,0,1.0,test,correlation,de,0.5657529434300292
PMean,replogle_k562_essential_k562,0,1.0,test,correlation,hvg,0.2993551420938998
PMean,replogle_k562_essential_k562,0,1.0,test,mae,all,0.055552608527385534
PMean,replogle_k562_essential_k562,0,1.0,test,mae,de,0.13465575621455647
PMean,replogle_k562_essential_k562,0,1.0,test,mae,hvg,0.06258453241361127
PMean,replogle_k562_essential_k562,0,1.0,test,mse,all,0.006595562560564679
PMean,replogle_k562_essential_k562,0,1.0,test,mse,de,0.0342679504285261
PMean,replogle_k562_essential_k562,0,1.0,test,mse,hvg,0.009139649298950173
PMean,replogle_k562_essential_k562,0,1.0,test,systema_bias,all,-0.035546758130665386
PMean,replogle_k562_essential_k562,0,1.0,test,systema_bias,de,-0.07863052413721304
PMean,replogle_k562_essential_k562,0,1.0,test,systema_bias,hvg,-0.00537472980757433
PMean,replogle_k562_essential_k562,0,1.0,test,systema_correlation,all,0.2556385705587683
PMean,replogle_k562_essential_k562,0,1.0,test,systema_correlation,de,0.5020996493519305
