method,context,repeat,x,set,metric_name,gene,value
PRESAGE,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
PRESAGE,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
PRESAGE,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
PRESAGE,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
PRESAGE,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
PRESAGE,replogle_k562_essential_k562,0,0.5,test,correlation,all,0.09186570236234305
PRESAGE,replogle_k562_essential_k562,0,0.5,test,correlation,de,0.14076390849038337
PRESAGE,replogle_k562_essential_k562,0,0.5,test,correlation,hvg,0.09873220904697816
PRESAGE,replogle_k562_essential_k562,0,0.5,test,mae,all,0.04651807127575914
PRESAGE,replogle_k562_essential_k562,0,0.5,test,mae,de,0.19800828748823587
PRESAGE,replogle_k562_essential_k562,0,0.5,test,mae,hvg,0.05022025301679483
PRESAGE,replogle_k562_essential_k562,0,0.5,test,mse,all,0.004850797384915202
PRESAGE,replogle_k562_essential_k562,0,0.5,test,mse,de,0.06608976158375907
PRESAGE,replogle_k562_essential_k562,0,0.5,test,mse,hvg,0.006247863627872928
PRESAGE,replogle_k562_essential_k562,0,0.5,test,systema_bias,all,-0.023059738176988212
PRESAGE,replogle_k562_essential_k562,0,0.5,test,systema_bias,de,-0.07806504608593529
PRESAGE,replogle_k562_essential_k562,0,0.5,test,systema_bias,hvg,-0.027548465952277005
PRESAGE,replogle_k562_essential_k562,0,0.5,test,systema_correlation,all,0.0579329972751798
PRESAGE,replogle_k562_essential_k562,0,0.5,test,systema_correlation,de,-0.17186126762345644
PRESAGE,replogle_k562_essential_k562,0,0.5,test,systema_correlation,hvg,0.08497357300540459
PRESAGE,replogle_k562_essential_k562,0,1.0,test,correlation,all,0.12150278428919409
PRESAGE,replogle_k562_essential_k562,0,1.0,test,correlation,de,0.24809130063042956
PRESAGE,replogle_k562_essential_k562,0,1.0,test,correlation,hvg,0.14900438197882418
PRESAGE,replogle_k562_essential_k562,0,1.0,test,mae,all,0.04557661940661405
PRESAGE,replogle_k562_essential_k562,0,1.0,test,mae,de,0.19720885457795942
PRESAGE,replogle_k562_essential_k562,0,1.0,test,mae,hvg,0.04911098267113799
PRESAGE,replogle_k562_essential_k562,0,1.0,test,mse,all,0.0047200143251139816
PRESAGE,replogle_k562_essential_k562,0,1.0,test,mse,de,0.06583414520350941
PRESAGE,replogle_k562_essential_k562,0,1.0,test,mse,hvg,0.0060568343575908646
PRESAGE,replogle_k562_essential_k562,0,1.0,test,systema_bias,all,0.05271332706267958
PRESAGE,replogle_k562_essential_k562,0,1.0,test,systema_bias,de,0.09491478105287031
PRESAGE,replogle_k562_essential_k562,0,1.0,test,systema_bias,hvg,0.09987464511960456
PRESAGE,replogle_k562_essential_k562,0,1.0,test,systema_correlation,all,0.066354506689295
PRESAGE,replogle_k562_essential_k562,0,1.0,test,systema_correlation,de,-0.1689845507308936
PRESAGE,replogle_k562_essential_k562,0,1.0,test,systema_correlation,hvg,0.09622921072901762
PRESAGE,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.36426510212321994
PRESAGE,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.47673497528149306
PRESAGE,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.38349563599516584
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mae,all,0.04122522453966585
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mae,de,0.1758096315437875
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.04452742782540897
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mse,all,0.0038880075317132097
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mse,de,0.053500852258472925
PRESAGE,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.004953783248863141
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.5650945870484767
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.4971865823106751
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.5725890109524011
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.22794017978930148
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.20646839308647477
PRESAGE,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.2761173988807497
PRESAGE,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.393484125590115
PRESAGE,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.535136796811359
PRESAGE,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.41878273530025684
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mae,all,0.03906340850652314
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mae,de,0.15040604182869116
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.04194664953683582
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mse,all,0.003253626033267137
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mse,de,0.039612121953340504
PRESAGE,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.0040427939974179
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.5105261204854017
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.42031930837439935
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.5034590660981872
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.29666209273975347
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.3963964970594298
PRESAGE,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.35612467005518644
PRESAGE,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.4025298697464381
PRESAGE,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.5237944821076156
PRESAGE,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.42149279964535186
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mae,all,0.039548309442719656
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mae,de,0.1476460966760804
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.04261839854095281
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mse,all,0.0033680551208095607
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mse,de,0.04038623954302996
PRESAGE,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.004220192979925492
PRESAGE,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.4901921719005586
