method,context,repeat,x,set,metric_name,gene,value
scGPT,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
scGPT,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
scGPT,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
scGPT,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
scGPT,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
scGPT,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
scGPT,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
scGPT,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
scGPT,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
scGPT,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
scGPT,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
scGPT,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
scGPT,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
scGPT,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
scGPT,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
scGPT,replogle_k562_essential_k562,0,0.5,test,correlation,all,0.12062029200706124
scGPT,replogle_k562_essential_k562,0,0.5,test,correlation,de,0.04375772059961348
scGPT,replogle_k562_essential_k562,0,0.5,test,correlation,hvg,0.12182943406324774
scGPT,replogle_k562_essential_k562,0,0.5,test,mae,all,0.050005757055011237
scGPT,replogle_k562_essential_k562,0,0.5,test,mae,de,0.19345885040737965
scGPT,replogle_k562_essential_k562,0,0.5,test,mae,hvg,0.054391179587963245
scGPT,replogle_k562_essential_k562,0,0.5,test,mse,all,0.005494860782637201
scGPT,replogle_k562_essential_k562,0,0.5,test,mse,de,0.06342959014386772
