method,context,repeat,x,set,metric_name,gene,value
scGen,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.24994896237568742
scGen,replogle_k562_essential_k562,0,0.0,test,correlation,de,0.388334458894987
scGen,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.2627088170710423
scGen,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04930984496399822
scGen,replogle_k562_essential_k562,0,0.0,test,mae,de,0.14737484662729947
scGen,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.05601057908812287
scGen,replogle_k562_essential_k562,0,0.0,test,mse,all,0.005700566475373405
scGen,replogle_k562_essential_k562,0,0.0,test,mse,de,0.04156424847470696
scGen,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.00797186395051043
scGen,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,0.0508978082160718
scGen,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,0.015160543204308392
scGen,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,0.023406002805298688
scGen,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.22755576684429568
scGen,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,0.27665232451808375
scGen,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.26118520633329556
scGen,replogle_k562_essential_k562,0,0.5,test,correlation,all,0.27054770316966953
scGen,replogle_k562_essential_k562,0,0.5,test,correlation,de,0.4143537255409627
scGen,replogle_k562_essential_k562,0,0.5,test,correlation,hvg,0.2862590658742981
scGen,replogle_k562_essential_k562,0,0.5,test,mae,all,0.04824533776484396
scGen,replogle_k562_essential_k562,0,0.5,test,mae,de,0.14563494182809875
scGen,replogle_k562_essential_k562,0,0.5,test,mae,hvg,0.05436857286902923
scGen,replogle_k562_essential_k562,0,0.5,test,mse,all,0.005432740049628598
scGen,replogle_k562_essential_k562,0,0.5,test,mse,de,0.04075275516438434
scGen,replogle_k562_essential_k562,0,0.5,test,mse,hvg,0.007489057111961048
scGen,replogle_k562_essential_k562,0,0.5,test,systema_bias,all,0.13853736009006729
scGen,replogle_k562_essential_k562,0,0.5,test,systema_bias,de,0.08817762264840953
scGen,replogle_k562_essential_k562,0,0.5,test,systema_bias,hvg,0.1204145207042044
scGen,replogle_k562_essential_k562,0,0.5,test,systema_correlation,all,0.22360143080263667
scGen,replogle_k562_essential_k562,0,0.5,test,systema_correlation,de,0.29359437348482476
scGen,replogle_k562_essential_k562,0,0.5,test,systema_correlation,hvg,0.255412161768837
scGen,replogle_k562_essential_k562,0,1.0,test,correlation,all,0.28263227439377464
scGen,replogle_k562_essential_k562,0,1.0,test,correlation,de,0.44387127753280836
scGen,replogle_k562_essential_k562,0,1.0,test,correlation,hvg,0.30123112752844944
scGen,replogle_k562_essential_k562,0,1.0,test,mae,all,0.0475175410073235
scGen,replogle_k562_essential_k562,0,1.0,test,mae,de,0.1426318983228917
scGen,replogle_k562_essential_k562,0,1.0,test,mae,hvg,0.0540497803514753
scGen,replogle_k562_essential_k562,0,1.0,test,mse,all,0.005219696036545209
scGen,replogle_k562_essential_k562,0,1.0,test,mse,de,0.039606160898810056
scGen,replogle_k562_essential_k562,0,1.0,test,mse,hvg,0.007379038343946778
scGen,replogle_k562_essential_k562,0,1.0,test,systema_bias,all,0.1169526788157078
scGen,replogle_k562_essential_k562,0,1.0,test,systema_bias,de,0.07229989617018011
scGen,replogle_k562_essential_k562,0,1.0,test,systema_bias,hvg,0.11756258035178312
scGen,replogle_k562_essential_k562,0,1.0,test,systema_correlation,all,0.2427436844388941
scGen,replogle_k562_essential_k562,0,1.0,test,systema_correlation,de,0.32752480394719374
scGen,replogle_k562_essential_k562,0,1.0,test,systema_correlation,hvg,0.2689139480376632
scGen,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.3424633212471941
scGen,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.4955738278404757
scGen,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.3595986026631327
scGen,replogle_k562_essential_k562,0,10.0,test,mae,all,0.0434005656367464
scGen,replogle_k562_essential_k562,0,10.0,test,mae,de,0.13401802709329555
scGen,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.048185830678540764
scGen,replogle_k562_essential_k562,0,10.0,test,mse,all,0.004176216799702269
scGen,replogle_k562_essential_k562,0,10.0,test,mse,de,0.034989394720872626
scGen,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.005585319847958544
scGen,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.2309521714082001
scGen,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.15809476043801468
scGen,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.21477797797906614
scGen,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.2819647157760556
scGen,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.3762646815249515
scGen,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.3160208840820415
scGen,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.3362252983624441
scGen,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.47820372391639054
scGen,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.350526648073823
scGen,replogle_k562_essential_k562,0,30.0,test,mae,all,0.044044637900225864
scGen,replogle_k562_essential_k562,0,30.0,test,mae,de,0.133761632298155
scGen,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.04953433678187744
scGen,replogle_k562_essential_k562,0,30.0,test,mse,all,0.004388053792916388
scGen,replogle_k562_essential_k562,0,30.0,test,mse,de,0.03448615460534688
scGen,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.006075542502118004
scGen,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.2604705191162543
scGen,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.19091375958854848
scGen,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.25344155648018074
scGen,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.2592254788132656
scGen,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.35900468399410923
scGen,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.2838684643796136
scGen,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.3145319347350861
scGen,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.4536028934163631
scGen,replogle_k562_essential_k562,0,50.0,test,correlation,hvg,0.3262884726323951
scGen,replogle_k562_essential_k562,0,50.0,test,mae,all,0.04788789012385413
scGen,replogle_k562_essential_k562,0,50.0,test,mae,de,0.14305981282789712
scGen,replogle_k562_essential_k562,0,50.0,test,mae,hvg,0.05410263729234075
scGen,replogle_k562_essential_k562,0,50.0,test,mse,all,0.005648605938030033
scGen,replogle_k562_essential_k562,0,50.0,test,mse,de,0.04106282799438521
scGen,replogle_k562_essential_k562,0,50.0,test,mse,hvg,0.007866408756321304
scGen,replogle_k562_essential_k562,0,50.0,test,systema_bias,all,0.2207689694121178
scGen,replogle_k562_essential_k562,0,50.0,test,systema_bias,de,0.14813078849976452
scGen,replogle_k562_essential_k562,0,50.0,test,systema_bias,hvg,0.19950133797232011
scGen,replogle_k562_essential_k562,0,50.0,test,systema_correlation,all,0.2551476811045098
scGen,replogle_k562_essential_k562,0,50.0,test,systema_correlation,de,0.33418949141301485
scGen,replogle_k562_essential_k562,0,50.0,test,systema_correlation,hvg,0.28455186019644596
scGen,replogle_k562_essential_k562,0,80.0,test,correlation,all,0.3373815994596401
scGen,replogle_k562_essential_k562,0,80.0,test,correlation,de,0.47196352204584535
scGen,replogle_k562_essential_k562,0,80.0,test,correlation,hvg,0.3488827301463171
scGen,replogle_k562_essential_k562,0,80.0,test,mae,all,0.046023410585363765
scGen,replogle_k562_essential_k562,0,80.0,test,mae,de,0.13550751737908032
scGen,replogle_k562_essential_k562,0,80.0,test,mae,hvg,0.05190631367606004
scGen,replogle_k562_essential_k562,0,80.0,test,mse,all,0.005136315876131095
scGen,replogle_k562_essential_k562,0,80.0,test,mse,de,0.03695457275806719
scGen,replogle_k562_essential_k562,0,80.0,test,mse,hvg,0.007185989943735355
scGen,replogle_k562_essential_k562,0,80.0,test,systema_bias,all,0.190426295757999
