method,context,repeat,x,set,metric_name,gene,value
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,all,0.3945868209854904
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,de,0.5501065985003769
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,hvg,0.4836958661137866
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,mae,all,0.05846724652760763
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,mae,de,0.23334412095602083
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,mae,hvg,0.07457244941542025
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,mse,all,0.008889716313787982
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,mse,de,0.10709792357545973
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,mse,hvg,0.015308870545372605
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,all,0.34488719337993495
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,de,0.31916541038247426
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,hvg,0.3630670394151822
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,all,0.07901857664477469
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,de,-0.20971751620217072
CMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,hvg,0.09288347104554424
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,all,0.44728617912710145
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,de,0.5556134518378696
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,hvg,0.514072636313337
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,mae,all,0.05668100579066753
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,mae,de,0.23543900927752998
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,mae,hvg,0.07294968975987058
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,mse,all,0.008564927102297193
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,mse,de,0.10703133026303156
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,mse,hvg,0.014950877487689557
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,all,0.4548024836295787
CMean,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,de,0.3661744445400523
