method,context,repeat,x,set,metric_name,gene,value
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
GEARS,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,all,0.2981242330782738
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,de,0.472100589160935
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,hvg,0.4086050820856533
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mae,all,0.07146150568948113
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mae,de,0.21537604150274844
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mae,hvg,0.08573563073047413
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mse,all,0.010883952939775728
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mse,de,0.09795290975919296
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,mse,hvg,0.016800125944738616
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,all,0.1306710544277962
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,de,0.20432178981367605
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,hvg,0.2078898308299284
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,all,0.04162606406650777
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,de,-0.0995424998764944
GEARS,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,hvg,0.05208179483669449
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,all,0.3885079692920785
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,de,0.5162292501269874
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,hvg,0.4775813974762984
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,mae,all,0.061980956143418434
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,mae,de,0.20852456444614925
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,mae,hvg,0.07695905658789878
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,mse,all,0.00889429100773166
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,mse,de,0.08950950995912878
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,mse,hvg,0.01448574324009866
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,all,0.32402314444791713
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,de,0.3124421058489935
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,hvg,0.3450983915604511
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,systema_correlation,all,0.055232930404925454
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,systema_correlation,de,-0.05615616303157289
GEARS,replogle_rpe1_essential_rpe1,0,1.0,test,systema_correlation,hvg,0.07168323806726264
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.4296445758485577
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5171880750764494
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.4984084005021206
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.06677112171712812
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.171901149016384
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.08877244455430063
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.010318389678569365
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.06921418353658235
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.018206618776624106
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.4407256124398954
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.37257966644159485
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.4118760179622218
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,-0.04180011287463518
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.18475037017036447
GEARS,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,-0.04970520505371801
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.38332133485849657
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.498175365476682
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.45506911628338
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.06385956953298746
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.18724347653925436
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.08104272820044718
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,mse,all,0.009171118491016036
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,mse,de,0.07294986260588131
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,mse,hvg,0.01516088790480439
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,all,0.3969748630844399
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,de,0.36733470670176455
GEARS,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,hvg,0.39367238706870167
