method,context,repeat,x,set,metric_name,gene,value
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
GenePert,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,all,0.41525759220852987
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,de,0.5486227061078165
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,hvg,0.496876360040557
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,mae,all,0.05873294451918591
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,mae,de,0.21148681648389125
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,mae,hvg,0.07429585285454869
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,mse,all,0.008566990101707073
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,mse,de,0.09166034285740504
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,mse,hvg,0.014315173482984778
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,all,0.393361000082444
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,de,0.3567040244592182
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,hvg,0.3921807043478535
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,all,0.04662726836455465
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,de,-0.12042981670885798
GenePert,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,hvg,0.060797447943069585
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,all,0.45166426868232534
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,de,0.5598251217672824
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,hvg,0.5177457254844
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,mae,all,0.05666760333629132
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,mae,de,0.21027887984846558
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,mae,hvg,0.07241804532884177
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,mse,all,0.008102495113116538
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,mse,de,0.08941546456843583
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,mse,hvg,0.01371794034602214
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,all,0.46894008097563367
GenePert,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,de,0.39477640662644675
