method,context,repeat,x,set,metric_name,gene,value
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.29646741312315084
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.576859292478621
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.3320286732823133
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.06311336780463371
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.21349593952993293
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.07911448104808085
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.009429470771584098
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.08635756155832948
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.016148996443867192
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.25656090151196964
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.2684112983425969
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.25822036046013386
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.3072772500146751
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,0.26864164759279974
PMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.3152882207320074
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,all,0.2967377845785213
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,de,0.5766172498097343
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,hvg,0.33230984921731627
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,mae,all,0.06311699743678525
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,mae,de,0.21349687945522597
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,mae,hvg,0.079122849338113
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,mse,all,0.009432758347731928
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,mse,de,0.0863764173503288
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,mse,hvg,0.0161550661470195
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,all,-0.25646324164400064
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,de,-0.2681107113279697
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,hvg,-0.2580501890834219
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,all,0.3073622898345194
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,de,0.2682630461131013
PMean,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,hvg,0.3154952211932076
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,all,0.29613564418625443
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,de,0.5763492332010267
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,hvg,0.33146641293172624
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,mae,all,0.06318094781857242
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,mae,de,0.21378536511467178
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,mae,hvg,0.07921067981562907
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,mse,all,0.009449374563250875
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,mse,de,0.08653948642343519
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,mse,hvg,0.01618377220902221
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,all,-0.25713091446090547
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,de,-0.2693184421265055
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,hvg,-0.25872810346983643
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,systema_correlation,all,0.30679671313308166
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,systema_correlation,de,0.26815117276014566
PMean,replogle_rpe1_essential_rpe1,0,1.0,test,systema_correlation,hvg,0.31473988437638256
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.2938504211506044
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5739017663189392
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.3296432081059532
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.06314276464127264
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.21418467703793848
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.0791639061825576
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.009442071047577353
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.0868807177244491
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.016178036884064044
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,-0.2555433053252868
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,-0.2704039193664893
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,-0.2575131664658955
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,0.3064234950177321
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.26943603918206666
PMean,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,0.3145489239206826
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.2921015006653234
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.5754710392280409
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.32587320166263684
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.06213632754761596
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.2075143609636149
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.07747302844678318
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,mse,all,0.009119322024225525
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,mse,de,0.08207930085771288
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,mse,hvg,0.015490340065539879
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,all,-0.2398255576843042
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,de,-0.24867115110817042
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,systema_bias,hvg,-0.23825094440865657
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,all,0.32745915537028786
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,de,0.2904716954606283
PMean,replogle_rpe1_essential_rpe1,0,29.9,test,systema_correlation,hvg,0.3413554222606121
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,all,0.3086298593260637
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,de,0.5855808688796521
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,correlation,hvg,0.3450459492295128
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,mae,all,0.06334006855875149
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,mae,de,0.21970707568198905
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,mae,hvg,0.08005885385009837
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,mse,all,0.009450781819470533
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,mse,de,0.08888480034742215
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,mse,hvg,0.016370324719319426
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,all,-0.27704209110925504
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,de,-0.2872899815520774
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,systema_bias,hvg,-0.2815574578555113
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,all,0.2974170172012148
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,de,0.26057188020952504
PMean,replogle_rpe1_essential_rpe1,0,50.0,test,systema_correlation,hvg,0.2957985713604337
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,all,0.29572691580681904
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,de,0.568297612567226
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,correlation,hvg,0.3386657191940885
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,mae,all,0.06387470399643796
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,mae,de,0.2172455572057048
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,mae,hvg,0.08026037001971195
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,mse,all,0.009651945086300323
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,mse,de,0.08973838419000633
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,mse,hvg,0.016553013403991786
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,all,-0.26570478246768653
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,de,-0.26791235382702544
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,systema_bias,hvg,-0.26430732836999327
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,all,0.2936479540224184
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,de,0.2555906302322324
PMean,replogle_rpe1_essential_rpe1,0,80.0,test,systema_correlation,hvg,0.3073519883084588
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,all,0.29646741312315084
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,de,0.576859292478621
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,correlation,hvg,0.3320286732823133
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,mae,all,0.06311336780463371
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,mae,de,0.21349593952993293
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,mae,hvg,0.07911448104808085
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,mse,all,0.009429470771584098
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,mse,de,0.08635756155832948
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,mse,hvg,0.016148996443867192
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,all,-0.25656090151196964
PMean,replogle_rpe1_essential_rpe1,1,0.0,test,systema_bias,de,-0.2684112983425969
