method,context,repeat,x,set,metric_name,gene,value
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
PRESAGE,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,all,0.3680920875676661
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,de,0.5432174088188333
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,hvg,0.46845310155558184
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,mae,all,0.05880044940459351
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,mae,de,0.25126163248138944
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,mae,hvg,0.07578902064128622
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,mse,all,0.009377958398284047
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,mse,de,0.12023886881719217
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,mse,hvg,0.016661649390620537
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,all,0.26682563577595986
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,de,0.2638294563354812
PRESAGE,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,hvg,0.3140789508418382
