method,context,repeat,x,set,metric_name,gene,value
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.1737993783059703
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.2949606064636028
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.19303003799912805
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.06242072746344447
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.24814018701800516
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.08119026690187942
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.010470551115875882
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.11213411062205778
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.01857430393793253
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.31554177100814756
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.30070865064612995
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.3472363063170368
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.22392496556174676
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.03849647504983875
scGen,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.23126428341433417
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,all,0.2741292379705455
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,de,0.465062470895997
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,correlation,hvg,0.32216417877805775
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,mae,all,0.0588187335618285
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,mae,de,0.2381265706807334
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,mae,hvg,0.07568096759831175
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,mse,all,0.00919512537015758
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,mse,de,0.1044817135537738
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,mse,hvg,0.016149403548482495
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,all,-0.15195809728194623
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,de,-0.12325739741260718
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,systema_bias,hvg,-0.15382244333774722
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,all,0.2507766379062437
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,de,0.010441571897546138
scGen,replogle_rpe1_essential_rpe1,0,0.4,test,systema_correlation,hvg,0.2598465772330307
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,all,0.2370036877217667
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,de,0.39250967703551043
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,correlation,hvg,0.2547599685152233
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,mae,all,0.05889182438996138
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,mae,de,0.2468802015459932
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,mae,hvg,0.0771218321640838
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,mse,all,0.009182729857553454
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,mse,de,0.11069494149376276
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,mse,hvg,0.0167156683740938
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,all,-0.29338998069302885
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,de,-0.2813882722781974
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,systema_bias,hvg,-0.34136505045337995
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,systema_correlation,all,0.25407775338001876
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,systema_correlation,de,0.008214415568634635
scGen,replogle_rpe1_essential_rpe1,0,1.0,test,systema_correlation,hvg,0.25530298030155457
scGen,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.3514216081931605
scGen,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5123126029832126
scGen,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.3986808492408498
scGen,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.0559560323955135
scGen,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.23456891348715683
scGen,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.0722781387622334
scGen,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.008096179384724397
