method,context,repeat,x,set,metric_name,gene,value
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,all,0.18572018313959845
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,de,0.18145942980645
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,hvg,0.23605221744931332
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,all,0.21581668490392128
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,de,0.49111247377727846
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,hvg,0.23039282123279153
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,all,0.12217422183774285
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,de,0.6155048178526551
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,hvg,0.1448013974142395
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,all,-0.4360110738563228
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,de,-0.6836647002862212
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,hvg,-0.49146927867012186
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,all,0.020164706256545484
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,de,-0.007748271582282282
Biolord,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,hvg,0.009630175640116333
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0864066915484205
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,0.011935988475832413
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.1135331002907491
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.21160327620732472
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.29373173326924285
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.2231348772531448
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.12494708576233819
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.3158042128807824
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.14761126572896577
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.07434033981086391
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.1884684770369574
Biolord,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.09526357109143921
