method,context,repeat,x,set,metric_name,gene,value
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,all,0.0021485829245701644
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,de,-0.029911539278610087
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,hvg,-9.088280979592343e-05
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,all,0.09405552206100791
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,de,0.4270256645319571
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,hvg,0.1317401204803518
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,all,0.022593384599757727
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,de,0.29291667725229
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,hvg,0.043274231140866246
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,all,-0.6993302232846964
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,de,-0.8298268708844808
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,hvg,-0.7894804630777026
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,all,-0.44482576952318087
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,de,-0.6466064486748423
CMean,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,hvg,-0.546614466984192
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0006927471108648319
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,0.002056231635404389
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.002020957874457968
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.055406993149991514
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.20770668124630823
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.06679557771264256
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.00725694077044493
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.07983385391073226
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.011745610529547895
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.3304304854740319
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.41730890336965165
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.3832754691070999
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.2513494228821534
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.12040393352767907
CMean,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.3107310797036313
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,all,0.45140156316609664
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,de,0.6913300148891613
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,hvg,0.6071017139207668
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,all,0.09396749026066953
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,de,0.24998127070106427
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,hvg,0.10806819843234466
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,all,0.020444751995968354
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,de,0.1417065588767154
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,hvg,0.02823301621657065
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,all,-0.008099419770326355
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,de,0.09868511826936956
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,hvg,0.005467676913097129
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,all,0.09130219152423971
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,de,0.33671023482150914
CMean,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,hvg,0.18523384530534664
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,all,0.24220294909611625
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,de,0.3833248028491161
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,hvg,0.31434764377525265
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,mae,all,0.08052958272321169
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,mae,de,0.14055837151998918
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,mae,hvg,0.09532024087320315
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,mse,all,0.014057054660228309
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,mse,de,0.04566157749826976
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,mse,hvg,0.020560165237818423
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,all,0.3614982782159467
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,de,0.33082543306291934
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,hvg,0.4125751354053949
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,all,-0.06490451175050709
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,de,0.16105739248155004
CMean,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,hvg,-0.1142178990799669
CMean,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,correlation,all,0.5817553452301364
CMean,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,correlation,de,0.7312424243654356
CMean,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,correlation,hvg,0.6898236891232297
CMean,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mae,all,0.08008102647912264
CMean,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mae,de,0.27167722680095713
CMean,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mae,hvg,0.09919925182133037
CMean,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mse,all,0.01547068219057939
