method,context,repeat,x,set,metric_name,gene,value
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,all,0.0021485829245701644
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,de,-0.029911539278610087
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,hvg,-9.088280979592343e-05
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,all,0.09405552206100791
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,de,0.4270256645319571
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,hvg,0.1317401204803518
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,all,0.022593384599757727
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,de,0.29291667725229
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,hvg,0.043274231140866246
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,all,-0.6993302232846964
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,de,-0.8298268708844808
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,hvg,-0.7894804630777026
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,all,-0.44482576952318087
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,de,-0.6466064486748423
GenePert,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,hvg,-0.546614466984192
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0006927471108648319
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,0.002056231635404389
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.002020957874457968
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.055406993149991514
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.20770668124630823
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.06679557771264256
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.00725694077044493
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.07983385391073226
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.011745610529547895
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.3304304854740319
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.41730890336965165
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.3832754691070999
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.2513494228821534
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.12040393352767907
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.3107310797036313
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,all,0.44157706495536153
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,de,0.6768224455827958
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,hvg,0.5955565593297892
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,all,0.09228208797969295
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,de,0.2671625216970286
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,hvg,0.10861015851165537
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,all,0.019704141467362688
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,de,0.1528072859543515
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,hvg,0.028402830707358686
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,all,-0.022269636918293634
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,de,0.08510118705144717
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,hvg,-0.013208677369569504
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,all,0.04725885676870755
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,de,0.2543398535917515
GenePert,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,hvg,0.12363721881690251
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,all,0.2405353275653888
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,de,0.3857596067514343
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,hvg,0.30954087740677455
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mae,all,0.0756438060595326
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mae,de,0.14382068709486331
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mae,hvg,0.08942485706152149
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mse,all,0.01211175592104688
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mse,de,0.04599841491347
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,mse,hvg,0.01781171594148133
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,all,0.35250667990070333
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,de,0.31984204397474963
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,hvg,0.3998309904755996
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,all,-0.04309262792796616
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,de,0.15545265915163708
GenePert,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,hvg,-0.08225916369714852
GenePert,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,correlation,all,0.5414966081214125
GenePert,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,correlation,de,0.6964372650031084
GenePert,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,correlation,hvg,0.6511182271158893
GenePert,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mae,all,0.08214488445388687
GenePert,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mae,de,0.2841791841265999
GenePert,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mae,hvg,0.10254351552109466
GenePert,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mse,all,0.016319119595681143
GenePert,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mse,de,0.15925252906341464
GenePert,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mse,hvg,0.026176202818768375
