method,context,repeat,x,set,metric_name,gene,value
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,all,0.0021485829245701644
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,de,-0.029911539278610087
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,correlation,hvg,-9.088280979592343e-05
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,all,0.09405552206100791
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,de,0.4270256645319571
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mae,hvg,0.1317401204803518
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,all,0.022593384599757727
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,de,0.29291667725229
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,mse,hvg,0.043274231140866246
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,all,-0.6993302232846964
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,de,-0.8298268708844808
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_bias,hvg,-0.7894804630777026
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,all,-0.44482576952318087
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,de,-0.6466064486748423
LM,nadig_hepg2_essential_hepg2,0,0.0,cluster_test,systema_correlation,hvg,-0.546614466984192
LM,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0006927471108648319
LM,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,0.002056231635404389
LM,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.002020957874457968
LM,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.055406993149991514
LM,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.20770668124630823
LM,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.06679557771264256
LM,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.00725694077044493
LM,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.07983385391073226
LM,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.011745610529547895
LM,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.3304304854740319
LM,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.41730890336965165
LM,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.3832754691070999
LM,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.2513494228821534
LM,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.12040393352767907
LM,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.3107310797036313
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,all,0.04579988903679512
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,de,0.13207397941257706
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,correlation,hvg,0.04047111573829744
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,all,0.1295740389371333
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,de,0.484166659613055
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mae,hvg,0.17588154397678857
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,all,0.049907106127991964
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,de,0.5142248989265905
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,mse,hvg,0.09325482624407688
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,all,-0.6352516209138229
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,de,-0.7111624441131328
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_bias,hvg,-0.7240893330378272
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,all,-0.20299255690158355
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,de,-0.25325097478825825
LM,nadig_hepg2_essential_hepg2,0,0.4,cluster_test,systema_correlation,hvg,-0.28295220284567496
LM,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,all,0.17572780866618182
LM,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,de,0.29764106204821295
LM,nadig_hepg2_essential_hepg2,0,0.4,test,correlation,hvg,0.22399931821221564
LM,nadig_hepg2_essential_hepg2,0,0.4,test,mae,all,0.06931484205519771
LM,nadig_hepg2_essential_hepg2,0,0.4,test,mae,de,0.16997569453067662
LM,nadig_hepg2_essential_hepg2,0,0.4,test,mae,hvg,0.08298533208852985
LM,nadig_hepg2_essential_hepg2,0,0.4,test,mse,all,0.010978482733377412
LM,nadig_hepg2_essential_hepg2,0,0.4,test,mse,de,0.06386198522867786
LM,nadig_hepg2_essential_hepg2,0,0.4,test,mse,hvg,0.01682208831799569
LM,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,all,0.15041626455943855
LM,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,de,0.10516534917361925
LM,nadig_hepg2_essential_hepg2,0,0.4,test,systema_bias,hvg,0.16798795036063854
LM,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,all,0.05901210499553714
LM,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,de,0.06982158655464406
LM,nadig_hepg2_essential_hepg2,0,0.4,test,systema_correlation,hvg,0.06428969002358882
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,correlation,all,0.19746585897562305
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,correlation,de,0.2541957786222918
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,correlation,hvg,0.2174751071394252
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mae,all,0.11684691902644444
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mae,de,0.4015443508120164
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mae,hvg,0.15038757804715341
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mse,all,0.03644311737803799
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mse,de,0.3378797854287361
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,mse,hvg,0.06313311478803456
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,systema_bias,all,-0.3793802870137548
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,systema_bias,de,-0.5045242259337731
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,systema_bias,hvg,-0.46594006178856306
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,systema_correlation,all,-0.1264222071070886
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,systema_correlation,de,-0.1916832826125332
LM,nadig_hepg2_essential_hepg2,0,0.9,cluster_test,systema_correlation,hvg,-0.18671312169206833
LM,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,all,0.22807065262742154
LM,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,de,0.322892678753177
LM,nadig_hepg2_essential_hepg2,0,0.9,test,correlation,hvg,0.2786763054778108
LM,nadig_hepg2_essential_hepg2,0,0.9,test,mae,all,0.06614715972769836
LM,nadig_hepg2_essential_hepg2,0,0.9,test,mae,de,0.1648698365671528
LM,nadig_hepg2_essential_hepg2,0,0.9,test,mae,hvg,0.08088718505819933
LM,nadig_hepg2_essential_hepg2,0,0.9,test,mse,all,0.009714793344673798
LM,nadig_hepg2_essential_hepg2,0,0.9,test,mse,de,0.0554945032109072
LM,nadig_hepg2_essential_hepg2,0,0.9,test,mse,hvg,0.015390400620769075
LM,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,all,0.30660188304515174
LM,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,de,0.24196751952987774
LM,nadig_hepg2_essential_hepg2,0,0.9,test,systema_bias,hvg,0.3055266600534079
LM,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,all,0.042387542333764676
LM,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,de,0.08750217298987524
LM,nadig_hepg2_essential_hepg2,0,0.9,test,systema_correlation,hvg,0.045581959682681604
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,correlation,all,0.4709619898242173
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,correlation,de,0.676445149184804
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,correlation,hvg,0.5766997540300622
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,mae,all,0.08708105604631848
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,mae,de,0.34407203546061427
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,mae,hvg,0.11484422256173578
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,mse,all,0.01863742873198779
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,mse,de,0.20704495536019565
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,mse,hvg,0.03271887223722022
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,systema_bias,all,-0.02625708148553542
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,systema_bias,de,0.0028415260844122285
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,systema_bias,hvg,-0.046941660140900725
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,systema_correlation,all,-0.203509652122832
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,systema_correlation,de,-0.4057146029913838
LM,nadig_hepg2_essential_hepg2,0,9.9,cluster_test,systema_correlation,hvg,-0.2846968498395419
LM,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.27606578936996445
LM,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.3972543831180559
LM,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.33044831813439995
LM,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.05531230076014965
LM,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.18016344427991254
LM,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.06593322227605251
